Remove,Remover
ID,Identidade
No,Não
Action,Ação
"Expiration Date","Expiration Date"
Delete,Excluir
Save,Salvar
Yes,Sim
Code,Código
Status,Status
Website,Website
"Please wait, loading...","Por favor aguarde, carregando..."
"End on","Data de Validade"
Active,Ativo
Created,"Data da Criação"
Date,Data
Alphanumeric,Alfanumérico
Sent,Enviado
"Balance Change","Mudança no saldo"
Balance,Saldo
"By admin: %1.","By admin: %1."
Updated,Atualizado
Used,Utilizado
"Gift Card","Cartão de presente"
"Gift Card Accounts","Contas de Cartão de Presente"
"Recipient Name","Nome do destinatário"
"Recipient Email","E-mail do destinatário"
"Add Gift Card Account","Adicionar conta de cartão de presente"
"Save & Send Email","Salvar e Enviar Email"
"Edit Gift Card Account: %1","Edit Gift Card Account: %1"
"New Gift Card Account","Nova conta de Cartão de Presente"
"More Information","More Information"
Information,Informações
"Gift Card Code","Código do Cartão Oferta"
Redeemable,Resgatável
"Send Gift Card","Enviar Cartão Oferta"
"Send Email from the Following Store View","Send Email from the Following Store View"
"-- First Please Select a Website --","-- Primeiro escolha um site --"
"Gift Card Account","Conta Cartão Oferta"
History,História
"Code Pool used: <b>%1%</b> (free <b>%2</b> of <b>%3</b> total). Generate new code pool <a href=""%4"">here</a>.","Code Pool used: <b>%1%</b> (free <b>%2</b> of <b>%3</b> total). Generate new code pool <a href=""%4"">here</a>."
"This gift card account has been deleted.","This gift card account has been deleted."
"New Account","Nova conta"
"Edit Gift Card Account","Edite Conta Cartão Oferta"
"You saved the gift card account.","You saved the gift card account."
"You saved the gift card account, but an email was not sent.","You saved the gift card account, but an email was not sent."
"An email was not sent because the gift card account is not active.","An email was not sent because the gift card account is not active."
"We couldn't find a gift card account to delete.","We couldn't find a gift card account to delete."
"New code pool was generated.","O novo código de pool foi gerado."
"We were unable to generate a new code pool.","We were unable to generate a new code pool."
"Please select a gift card account(s)","Please select a gift card account(s)"
"You deleted a total of %1 records.","You deleted a total of %1 records."
"We will refund the gift card amount to your customer’s store credit","We will refund the gift card amount to your customer’s store credit"
"Please enable Store Credit to refund the gift card amount to your customer","Please enable Store Credit to refund the gift card amount to your customer"
"Please correct the gift card code.","Please correct the gift card code."
"Gift Card ""%1"" was added.","Gift Card ""%1"" was added."
"We cannot apply this gift card.","We cannot apply this gift card."
"Gift Card ""%1"" was removed.","Gift Card ""%1"" was removed."
"We cannot remove this gift card.","We cannot remove this gift card."
"You can't redeem a gift card now.","You can't redeem a gift card now."
"Gift Card ""%1"" was redeemed.","Gift Card ""%1"" was redeemed."
"We cannot redeem this gift card.","We cannot redeem this gift card."
"An expiration date must be in the future.","An expiration date must be in the future."
"The balance cannot be less than zero.","The balance cannot be less than zero."
"This gift card account is already in the quote.","Esta conta de cartão oferta já está na citação."
"Please correct the gift card account code: ""%1"".","Please correct the gift card account code: ""%1""."
"This gift card account wasn't found in the quote.","Esta conta de cartão oferta não foi encontrada na citação."
"Please correct the gift card account ID. Requested code: ""%1""","Please correct the gift card account ID. Requested code: ""%1"""
"Please correct the gift card account website: %1.","Please correct the gift card account website: %1."
"Gift card account %1 is not enabled.","Gift card account %1 is not enabled."
"Gift card account %1 is expired.","Gift card account %1 is expired."
"Gift card account %1 has a zero balance.","Gift card account %1 has a zero balance."
"Gift card account %1 balance is lower than the charged amount.","Gift card account %1 balance is lower than the charged amount."
Available,Disponível
Redeemed,Restituído
Expired,Expirado
"You supplied an invalid customer ID.","You supplied an invalid customer ID."
"Gift Card Redeemed: %1. For customer #%2.","Gift Card Redeemed: %1. For customer #%2."
"Order #%1.","Order #%1."
"Recipient: %1.","Recipient: %1."
"Customer #%1.","Customer #%1."
"Please assign a gift card account.","Please assign a gift card account."
"Unknown history action.","Ação desconhecida do histórico."
"We were unable to create full code pool size. Please check settings and try again.","We were unable to create full code pool size. Please check settings and try again."
"No codes left in the pool.","Nenhum código restante em pool."
Alphabetical,Alfabético
Numeric,Numérico
"Maximum generated code length is 255. Please correct your settings.","O tamanho máximo do código gerado é 255. Corrija as suas configurações."
"Gift Cards","Cartões Oferta"
Generate,Gerar
"Code Pool used: <b>%1%</b> (free <b>%2</b> of <b>%3</b> total).","Code Pool used: <b>%1%</b> (free <b>%2</b> of <b>%3</b> total)."
"Are you sure you want to continue without saving your changes?","Are you sure you want to continue without saving your changes?"
"Refund Gift Cards to Store Credit","Reembolso de Cartões Oferta para Crédito da Loja"
"Add Gift Card","Adicionar cartão de presente"
"Gift Card (%1)","Gift Card (%1)"
"Enter gift card code","Insira código de cartão oferta"
"Redeem Gift Card","Restituir Cartão de Presente"
"Check status and balance","Verificar o status e o saldo"
"Have a gift card? <a href=""%1"">Click here</a> to redeem it.","Have a gift card? <a href=""%1"">Click here</a> to redeem it."
"Enter the gift card code","Insira o código de cartão oferta"
"Check Gift Card status and balance","Verificar o status e o saldo do Cartão de presente"
"Gift Card: %1","Gift Card: %1"
"Current Balance: %1","Current Balance: %1"
"Expires: %1","Expires: %1"
"Please correct the wrong or expired Gift Card Code.","Please correct the wrong or expired Gift Card Code."
"To add or remove gift cards, <a href=""%1"">click here</a>.","To add or remove gift cards, <a href=""%1"">click here</a>."
"Gift Card amount applied to order: %1","Gift Card amount applied to order: %1"
CSV,CSV
"Excel XML","Excel XML"
"Code Length","Code Length"
"Excluding prefix, suffix and separators.","Excluding prefix, suffix and separators."
"Code Format","Code Format"
"Code Prefix","Code Prefix"
"Code Suffix","Code Suffix"
"Dash Every X Characters","Dash Every X Characters"
