Price,Prix
ID,ID
Action,Action
"Excl. Tax",H.T.
"Incl. Tax",TTC
Edit,Éditer
[GLOBAL],[GLOBAL]
[WEBSITE],[WEBSITE]
"[STORE VIEW]","[STORE VIEW]"
Delete,Supprimer
Status,Statut
Disabled,Désactivé
Enabled,Actif
"Save and Continue Edit","Enregistrer et continuer la modification"
"Please select items.","Veuillez sélectionner des objets."
"Use Default Value","Utiliser la valeur par défaut"
Websites,"Sites Web"
"Change status","Changer statut"
Image,Image
Design,Design
Preview,Preview
%1,%1
"Please select","Veuillez sélectionner"
"You deleted a total of %1 records.","You deleted a total of %1 records."
"Gift Wrapping","Emballage cadeau"
"Add Gift Wrapping","Ajouter un emballage cadeau"
"Are you sure you want to delete this gift wrapping?","Êtes-vous sûr de vouloir supprimer l'emballage cadeau ?"
"Edit Gift Wrapping ""%1""","Edit Gift Wrapping ""%1"""
"New Gift Wrapping","Nouvel emballage cadeau"
"Gift Wrapping Information","Information emballage cadeau"
"Gift Wrapping Design","Design emballage cadeau"
"Please request the correct gift wrapping.","Please request the correct gift wrapping."
"You have not uploaded the image.","You have not uploaded the image."
"You saved the gift wrapping.","You saved the gift wrapping."
"We couldn't save the gift wrapping.","We couldn't save the gift wrapping."
"You have not updated the image.","You have not updated the image."
"You updated a total of %1 records.","You updated a total of %1 records."
"Something went wrong while updating the wrapping(s) status.","Something went wrong while updating the wrapping(s) status."
"You deleted the gift wrapping.","You deleted the gift wrapping."
"Gift Wrapping for Order (Excl. Tax)","Emballage cadeau pour la commande (HT)"
"Gift Wrapping for Order (Incl. Tax)","Emballage cadeau pour la commande (TTC)"
"Gift Wrapping for Order","Emballage cadeau pour la commande"
"Gift Wrapping for Items (Incl. Tax)","Emballage cadeau pour les objets (TTC)"
"Gift Wrapping for Items (Excl. Tax)","Emballage cadeau pour les objets (HT)"
"Gift Wrapping for Items","Emballage cadeau pour articles"
"Printed Card (Incl. Tax)","Carte imprimée (TTC)"
"Printed Card (Excl. Tax)","Carte imprimée (HT)"
"Printed Card","Carte imprimée"
"You can leave a box blank if you don't wish to add a gift wrap for whole order","Vous pouvez laisser une case vide si vous ne souhaitez pas ajouter un emballage cadeau pour l'ensemble de la commande"
"Price Excl. Tax","Prix HT"
"Price Incl. Tax","Prix TTC"
"Send Gift Receipt","Envoyer un accusé de réception pour le cadeau"
"Add Printed Card","Ajouter une carte imprimée"
"Gift Wrapping for the Entire Order","Emballage cadeau pour l'ensemble de la commande"
"Other Gift Options","Other Gift Options"
"Custom Price","Custom Price"
"Allow Gift Wrapping on Order Level","Allow Gift Wrapping on Order Level"
"Allow Gift Wrapping for Order Items","Allow Gift Wrapping for Order Items"
"Allow Gift Receipt","Allow Gift Receipt"
"Allow Printed Card","Allow Printed Card"
"Default Price for Printed Card","Default Price for Printed Card"
"Tax Class for Gift Options","Tax Class for Gift Options"
"Display Gift Wrapping Prices","Display Gift Wrapping Prices"
"Display Printed Card Prices","Display Printed Card Prices"
"Are you sure you want to delete the selected gift wrappings?","Êtes-vous sûr de vouloir supprimer les emballages cadeau sélectionnés ?"
"Gift Wrap Design","Gift Wrap Design"
"None","None"
"Excluding Tax","Excluding Tax"
"Including Tax","Including Tax"
"Including and Excluding Tax","Including and Excluding Tax"
