ID,Identification
SKU,UGS
"Shopping Cart",Caddy
No,Non
Email,Courriel
Yes,Oui
Status,Statut
"Save and Continue Edit","Sauvegarder et continuer à changer"
"Store View","Vue boutique"
Description,Description
Website,"Site internet"
Rule,Rule
"Start on","Start on"
"End on","End on"
Active,Actif
N/A,N/D
"General Information","Infos générales"
"Product Attributes","Attributs du produit"
"Add New Rule","Ajouter nouvelle règle"
"Edit Rule '%1'","Edit Rule '%1'"
"New Rule","Nouvelle règle"
"Rule Information","Infos de règle"
Conditions,Conditions
"Rule Name","Nom de la règle"
Inactive,Inactif
"From Date","À partir de"
"To Date",Jusqu'au
"Edit Rule","Change règle"
Daily,Daily
"Assigned to Website","Affecté au site Internet"
"Unknown operator specified.","Opérateur spécifié inconnu."
has,a
"does not have","n'a pas"
"Product %1","Product %1"
"Wish List","Wish List"
found,trouvé
"not found","non trouvé"
"Email Templates","Modèles de courriel"
"-- Not Selected --","-- Non sélectionné --"
"This rule is assigned to %1 automated reminder rule(s). Deleting this rule will automatically unassign it.","This rule is assigned to %1 automated reminder rule(s). Deleting this rule will automatically unassign it."
"Automated Email Marketing Reminder Rules","Règles du rappel de courriel commercial automatisé"
"Are you sure you want to match this rule now?","Êtes-vous sûr(e) de vouloir égaler cette règle maintenant?"
"No more than %1 customers may receive the reminder email after this action.","No more than %1 customers may receive the reminder email after this action."
"Run Now","Lancer maintenant"
"Email Reminder Rule","Règle du rappel de courriel"
"You need to set at least one condition for this rule to work.","You need to set at least one condition for this rule to work."
"Matched At","Correspond "
"Thread Active","Fil actif"
Coupon,Coupon
"Coupon Use Limit","Limite d'utilisation du coupon"
"Coupon Use Per Customer","Coupon Use Per Customer"
"Emails Sent","Courriels envoyés"
"Emails Failed","Échec des courriels"
"Last Sent","Dernier envoi "
"Reminder emails may promote a shopping cart price rule with or without a coupon. If a shopping cart price rule defines an auto-generated coupon, this reminder rule will generate a random coupon code for each customer.","Reminder emails may promote a shopping cart price rule with or without a coupon. If a shopping cart price rule defines an auto-generated coupon, this reminder rule will generate a random coupon code for each customer."
"Shopping Cart Price Rule","Règle de prix du caddy"
"Promotion rule this reminder will advertise.","Règle de promotion pour laquelle ce rappel fait de publicité."
"Repeat Schedule","Répète programmation"
"Enter the number of days before email reminder rule is triggered if conditions match (comma separate, e.g., ""7, 14"").","Enter the number of days before email reminder rule is triggered if conditions match (comma separate, e.g., ""7, 14"")."
"Select Rule...","Select Rule..."
"Only customers who registered on a store view will receive emails related to that store view.","Only customers who registered on a store view will receive emails related to that store view."
"Default Titles and Description","Titres par défaut et description"
"You can find and edit rule label and descriptions, per store view, in email templates.","You can find and edit rule label and descriptions, per store view, in email templates."
"Rule Title for All Store Views","Titre de la règle pour toutes les vues de boutique"
"Rule Description for All Store Views","Description de la règle pour toutes les vues de boutique"
"Titles and Descriptions Per Store View","Titres et descriptions par vue de boutique"
"Overrides default titles and descriptions. Note that if email an template is not specified for this store view, the respective variable values will be deleted.","Écrase les titres par défaut et les descriptions. Notez que si un courriel et modèle ne sont pas spécifiés pour cette vue de boutique, les valeurs de variables respectives seront effacés."
"Emails and Labels","Courriels et étiquettes"
"Matched Customers","Clients correspondants"
"Reminder Rules","Règles du rappel"
"Please correct the reminder rule you requested.","Please correct the reminder rule you requested."
"Email Reminders","Email Reminders"
"New Reminder Rule","New Reminder Rule"
"You saved the reminder rule.","You saved the reminder rule."
"We could not save the reminder rule.","We could not save the reminder rule."
"You deleted the reminder rule.","You deleted the reminder rule."
"We could not delete the reminder rule.","We could not delete the reminder rule."
"You matched the reminder rule.","You matched the reminder rule."
"Reminder rule matching error.","Erreur correspondante de la règle de rappel."
"You can create auto-generated coupons using reminder promotion rules.","You can create auto-generated coupons using reminder promotion rules."
"Minute Intervals","Minute Intervals"
Hourly,Hourly
"5 minutes","5 minutes"
"10 minutes","10 minutes"
"15 minutes","15 minutes"
"20 minutes","20 minutes"
"30 minutes","30 minutes"
"<b>Important</b>: If you select ""Use Auto Generation"", this rule will no longer be used in any automated email reminder rules for abandoned carts","<b>Important</b>: If you select ""Use Auto Generation"", this rule will no longer be used in any automated email reminder rules for abandoned carts"
for,for
"for greater than","for greater than"
"for or greater than","for or greater than"
"Shopping cart is not empty and abandoned %1 %2 days and %3 of these conditions match:","Shopping cart is not empty and abandoned %1 %2 days and %3 of these conditions match:"
"The root shopping cart condition should have a days value of 0 or greater.","The root shopping cart condition should have a days value of 0 or greater."
"Total Amount","Montant total"
subtotal,sous-total
"grand total",total
"Shopping cart %1 amount %2 %3:","Shopping cart %1 amount %2 %3:"
"Unknown quote total specified","Total de devis spécifié inconnu"
"Numeric Attribute","Attribut numérique"
weight,poids
"row weight","poids de la rangée"
quantity,quantité
"base price","prix de base"
"base cost","coût de base"
"Item %1 %2 %3:","Item %1 %2 %3:"
"Unknown attribute specified","Attribut spécifié inconnu."
"Items Subselection","Sous-sélection d'articles"
"Coupon Code","Code du coupon"
"Shopping cart %1 a coupon applied","Shopping cart %1 a coupon applied"
"Cart Line Items","Articles de la ligne panier"
"Number of shopping cart line items %1 %2:","Number of shopping cart line items %1 %2:"
"Item SKU %1 %2 ","Item SKU %1 %2 "
"The item was added to shopping cart %1, store view %2.","The item was added to shopping cart %1, store view %2."
from,from
"not from","not from"
"If an item is %1 in the shopping cart with %2 of these conditions match:","If an item is %1 in the shopping cart with %2 of these conditions match:"
"Items Quantity","Quantité d'articles"
"Total shopping cart items quantity %1 %2:","Total shopping cart items quantity %1 %2:"
"Virtual Only","Seulement virtuel"
"Shopping cart %1 only virtual items","Shopping cart %1 only virtual items"
"The wish list is not empty and abandoned %1 %2 days and %3 of these conditions match:","The wish list is not empty and abandoned %1 %2 days and %3 of these conditions match:"
"The root wish list condition should have a days value of 1 or greater.","The root wish list condition should have a days value of 1 or greater."
"Number of Items","Nombre d'articles"
"Number of wish list items %1 %2 ","Number of wish list items %1 %2 "
Sharing,Partage
"Wish List %1 shared","Wish List %1 shared"
is,est
"is not","n'est pas"
"The item was added to wish list %1, store view %2.","The item was added to wish list %1, store view %2."
"If an item is %1 in the wish list with %2 of these conditions match:","If an item is %1 in the wish list with %2 of these conditions match:"
"Condition type is unexpected","Condition type is unexpected"
"Please specify a valid number of minute.","Please specify a valid number of minute."
"Unable to save Cron expression","Unable to save Cron expression"
Interval,Interval
"Start Time","Start Time"
Frequency,Frequency
"Automated Email Reminder Rules","Automated Email Reminder Rules"
"Enable Reminder Emails","Enable Reminder Emails"
"Set this value equal or greater to your cron.php launch period.","Set this value equal or greater to your cron.php launch period."
"Minute of the Hour","Minute of the Hour"
"Valid range: 0-59 (default 0).","Valid range: 0-59 (default 0)."
"Maximum Emails per One Run","Maximum Emails per One Run"
"Email Send Failure Threshold","Email Send Failure Threshold"
"Make sure to enter a limit value, or reminder emails will be re-issued to customers in a loop.","Make sure to enter a limit value, or reminder emails will be re-issued to customers in a loop."
"Reminder Email Sender","Reminder Email Sender"
