#Product attributes
home;Home
home title;Go to admin home page
customers;Customers
customers title;View customers list
new customer;New Customer
customer account;Account Information
customer addresses;Addresses
id;ID #
email;Email Address
firstname;Firstname
lastname;Lastname

save;Save
delete;Delete
edit;Edit

name;Name
cost;Cost
default_category;Default Category
description;Description
manufacturer;Manufacturer
sku;Product SKU
price;Price
status;Status
tier_price;Tier price
shoe_type;Shoe type
weight;Weight
image;Image
small_image;Small Image
meta_title;Title(meta)
meta_keywords;Keywords(meta)
meta_description;Description(meta)
