City,City,"duplicate (49-/home/vasily/dev/magento/app/design/frontend/default/default/template/checkout//onepage/billing.phtml, 50-/home/vasily/dev/magento/app/design/frontend/default/default/template/checkout//onepage/billing.phtml, 49-/home/vasily/dev/magento/app/design/frontend/default/default/template/checkout//onepage/shipping.phtml, 50-/home/vasily/dev/magento/app/design/frontend/default/default/template/checkout//onepage/shipping.phtml)"
Clear,Clear,"duplicate (197-/home/vasily/dev/magento/app/code/core/Mage/Checkout//controllers/CartController.php, 211-/home/vasily/dev/magento/app/code/core/Mage/Checkout//controllers/CartController.php, 197-/home/vasily/dev/magento/app/code/core/Mage/Checkout//controllers/CartController.php, 211-/home/vasily/dev/magento/app/code/core/Mage/Checkout//controllers/CartController.php)"
Close,Close,"duplicate (53-/home/vasily/dev/magento/app/design/frontend/default/default/template/checkout//multishipping/billing.phtml, 26-/home/vasily/dev/magento/app/design/frontend/default/default/template/checkout//onepage/payment.phtml)"
Company,Company,"duplicate (37-/home/vasily/dev/magento/app/design/frontend/default/default/template/checkout//onepage/billing.phtml, 38-/home/vasily/dev/magento/app/design/frontend/default/default/template/checkout//onepage/billing.phtml, 37-/home/vasily/dev/magento/app/design/frontend/default/default/template/checkout//onepage/shipping.phtml, 38-/home/vasily/dev/magento/app/design/frontend/default/default/template/checkout//onepage/shipping.phtml)"
"Confirm Password","Confirm Password","duplicate (76-/home/vasily/dev/magento/app/design/frontend/default/default/template/checkout//onepage/billing.phtml, 77-/home/vasily/dev/magento/app/design/frontend/default/default/template/checkout//onepage/billing.phtml)"
Continue,Continue,"duplicate (41-/home/vasily/dev/magento/app/design/frontend/default/default/template/checkout//standard/shipping.phtml, 36-/home/vasily/dev/magento/app/design/frontend/default/default/template/checkout//onepage/payment.phtml, 87-/home/vasily/dev/magento/app/design/frontend/default/default/template/checkout//onepage/billing.phtml, 78-/home/vasily/dev/magento/app/design/frontend/default/default/template/checkout//onepage/shipping.phtml, 28-/home/vasily/dev/magento/app/design/frontend/default/default/template/checkout//onepage/shipping_method.phtml, 37-/home/vasily/dev/magento/app/design/frontend/default/default/template/checkout//onepage/login.phtml)"
"Continue Shopping","Continue Shopping","duplicate (37-/home/vasily/dev/magento/app/design/frontend/default/default/template/checkout//multishipping/success.phtml, 31-/home/vasily/dev/magento/app/design/frontend/default/default/template/checkout//success.phtml)"
Country,Country,"duplicate (138-/home/vasily/dev/magento/app/code/core/Mage/Checkout//Block/Onepage/Abstract.php, 138-/home/vasily/dev/magento/app/code/core/Mage/Checkout//Block/Onepage/Abstract.php, 24-/home/vasily/dev/magento/app/design/frontend/default/default/template/checkout//cart/shipping.phtml, 62-/home/vasily/dev/magento/app/design/frontend/default/default/template/checkout//onepage/billing.phtml, 61-/home/vasily/dev/magento/app/design/frontend/default/default/template/checkout//onepage/shipping.phtml)"
"Create Billing Address","Create Billing Address","duplicate (119-/home/vasily/dev/magento/app/code/core/Mage/Checkout//controllers/Multishipping/AddressController.php, 119-/home/vasily/dev/magento/app/code/core/Mage/Checkout//controllers/Multishipping/AddressController.php)"
"Create Shipping Address","Create Shipping Address","duplicate (48-/home/vasily/dev/magento/app/code/core/Mage/Checkout//controllers/Multishipping/AddressController.php, 48-/home/vasily/dev/magento/app/code/core/Mage/Checkout//controllers/Multishipping/AddressController.php)"
"Edit Address","Edit Address","duplicate (136-/home/vasily/dev/magento/app/code/core/Mage/Checkout//controllers/Multishipping/AddressController.php, 136-/home/vasily/dev/magento/app/code/core/Mage/Checkout//controllers/Multishipping/AddressController.php, 33-/home/vasily/dev/magento/app/design/frontend/default/default/template/checkout//multishipping/address/select.phtml)"
"Edit Billing Address","Edit Billing Address","duplicate (153-/home/vasily/dev/magento/app/code/core/Mage/Checkout//controllers/Multishipping/AddressController.php, 153-/home/vasily/dev/magento/app/code/core/Mage/Checkout//controllers/Multishipping/AddressController.php)"
"Edit Items","Edit Items","duplicate (80-/home/vasily/dev/magento/app/design/frontend/default/default/template/checkout//multishipping/shipping.phtml, 71-/home/vasily/dev/magento/app/design/frontend/default/default/template/checkout//multishipping/overview.phtml)"
"Edit Shipping Address","Edit Shipping Address","duplicate (82-/home/vasily/dev/magento/app/code/core/Mage/Checkout//controllers/Multishipping/AddressController.php, 82-/home/vasily/dev/magento/app/code/core/Mage/Checkout//controllers/Multishipping/AddressController.php)"
"Email Address","Email Address","duplicate (41-/home/vasily/dev/magento/app/design/frontend/default/default/template/checkout//onepage/billing.phtml, 42-/home/vasily/dev/magento/app/design/frontend/default/default/template/checkout//onepage/billing.phtml, 41-/home/vasily/dev/magento/app/design/frontend/default/default/template/checkout//onepage/shipping.phtml, 42-/home/vasily/dev/magento/app/design/frontend/default/default/template/checkout//onepage/shipping.phtml, 49-/home/vasily/dev/magento/app/design/frontend/default/default/template/checkout//onepage/login.phtml)"
