"Grand Total","Grand Total","duplicate (29-/home/vasily/dev/magento/app/code/core/Mage/Sales//Model/Entity/Quote/Address/Attribute/Frontend/Grand.php, 29-/home/vasily/dev/magento/app/code/core/Mage/Sales//Model/Quote/Address/Total/Grand.php, 29-/home/vasily/dev/magento/app/code/core/Mage/Sales//Model/Entity/Quote/Address/Attribute/Frontend/Grand.php, 29-/home/vasily/dev/magento/app/code/core/Mage/Sales//Model/Quote/Address/Total/Grand.php, 90-/home/vasily/dev/magento/app/design/frontend/default/default/template/sales//order/view.phtml)"
Invoice,Invoice,"duplicate (176-/home/vasily/dev/magento/app/code/core/Mage/Sales//Model/Invoice.php, 176-/home/vasily/dev/magento/app/code/core/Mage/Sales//Model/Invoice.php)"
"Items Ordered","Items Ordered","duplicate (68-/home/vasily/dev/magento/app/design/frontend/default/default/template/sales//order/details.phtml, 47-/home/vasily/dev/magento/app/design/frontend/default/default/template/sales//order/view.phtml)"
"Master Card","Master Card","duplicate (76-/home/vasily/dev/magento/app/code/core/Mage/Sales//Model/Quote/Payment.php, 76-/home/vasily/dev/magento/app/code/core/Mage/Sales//Model/Quote/Payment.php)"
Mixed,Mixed,"duplicate (138-/home/vasily/dev/magento/app/code/core/Mage/Sales//Model/Order/Item.php, 138-/home/vasily/dev/magento/app/code/core/Mage/Sales//Model/Order/Item.php)"
"My Orders","My Orders","duplicate (47-/home/vasily/dev/magento/app/code/core/Mage/Sales//Block/Order/History.php, 47-/home/vasily/dev/magento/app/code/core/Mage/Sales//Block/Order/History.php, 23-/home/vasily/dev/magento/app/design/frontend/default/default/template/sales//order/history.phtml)"
"No invoice for credit memo","No invoice for credit memo","duplicate (338-/home/vasily/dev/magento/app/code/core/Mage/Sales//Model/Invoice.php, 338-/home/vasily/dev/magento/app/code/core/Mage/Sales//Model/Invoice.php)"
"No order for invoice","No order for invoice","duplicate (329-/home/vasily/dev/magento/app/code/core/Mage/Sales//Model/Invoice.php, 329-/home/vasily/dev/magento/app/code/core/Mage/Sales//Model/Invoice.php)"
"Order #","Order #","duplicate (31-/home/vasily/dev/magento/app/design/frontend/default/default/template/sales//order/recent.phtml, 30-/home/vasily/dev/magento/app/design/frontend/default/default/template/sales//order/history.phtml)"
"Order Details","Order Details","duplicate (37-/home/vasily/dev/magento/app/code/core/Mage/Sales//Block/Order/Details.php, 37-/home/vasily/dev/magento/app/code/core/Mage/Sales//Block/Order/Details.php)"
"Order Invoices","Order Invoices","duplicate (36-/home/vasily/dev/magento/app/code/core/Mage/Sales//Block/Order/View.php, 36-/home/vasily/dev/magento/app/code/core/Mage/Sales//Block/Order/View.php)"
"Order Subtotal","Order Subtotal","duplicate (95-/home/vasily/dev/magento/app/design/frontend/default/default/template/sales//order/details.phtml, 74-/home/vasily/dev/magento/app/design/frontend/default/default/template/sales//order/view.phtml)"
"Order Total","Order Total","duplicate (34-/home/vasily/dev/magento/app/design/frontend/default/default/template/sales//order/recent.phtml, 33-/home/vasily/dev/magento/app/design/frontend/default/default/template/sales//order/history.phtml)"
Partial,Partial,"duplicate (137-/home/vasily/dev/magento/app/code/core/Mage/Sales//Model/Order/Item.php, 137-/home/vasily/dev/magento/app/code/core/Mage/Sales//Model/Order/Item.php)"
Payed,Payed,"duplicate (154-/home/vasily/dev/magento/app/code/core/Mage/Sales//Model/Invoice.php, 154-/home/vasily/dev/magento/app/code/core/Mage/Sales//Model/Invoice.php)"
"Payment Method","Payment Method","duplicate (62-/home/vasily/dev/magento/app/design/frontend/default/default/template/sales//order/details.phtml, 43-/home/vasily/dev/magento/app/design/frontend/default/default/template/sales//order/view.phtml)"
Pending,Pending,"duplicate (132-/home/vasily/dev/magento/app/code/core/Mage/Sales//Model/Order/Item.php, 153-/home/vasily/dev/magento/app/code/core/Mage/Sales//Model/Invoice.php, 132-/home/vasily/dev/magento/app/code/core/Mage/Sales//Model/Order/Item.php, 153-/home/vasily/dev/magento/app/code/core/Mage/Sales//Model/Invoice.php)"
Price,Price,"duplicate (73-/home/vasily/dev/magento/app/design/frontend/default/default/template/sales//order/details.phtml, 52-/home/vasily/dev/magento/app/design/frontend/default/default/template/sales//order/view.phtml)"
"Product Name","Product Name","duplicate (72-/home/vasily/dev/magento/app/design/frontend/default/default/template/sales//order/details.phtml, 51-/home/vasily/dev/magento/app/design/frontend/default/default/template/sales//order/view.phtml)"
"Qty Ordered","Qty Ordered","duplicate (74-/home/vasily/dev/magento/app/design/frontend/default/default/template/sales//order/details.phtml, 53-/home/vasily/dev/magento/app/design/frontend/default/default/template/sales//order/view.phtml)"
"Qty Shipped","Qty Shipped","duplicate (75-/home/vasily/dev/magento/app/design/frontend/default/default/template/sales//order/details.phtml, 54-/home/vasily/dev/magento/app/design/frontend/default/default/template/sales//order/view.phtml)"
Returned,Returned,"duplicate (135-/home/vasily/dev/magento/app/code/core/Mage/Sales//Model/Order/Item.php, 58-/home/vasily/dev/magento/app/code/core/Mage/Sales//Model/Invoice/Shipment.php, 135-/home/vasily/dev/magento/app/code/core/Mage/Sales//Model/Order/Item.php, 58-/home/vasily/dev/magento/app/code/core/Mage/Sales//Model/Invoice/Shipment.php)"
Sent,Sent,"duplicate (56-/home/vasily/dev/magento/app/code/core/Mage/Sales//Model/Invoice/Shipment.php, 56-/home/vasily/dev/magento/app/code/core/Mage/Sales//Model/Invoice/Shipment.php)"
