"City","Ville"
"Store to Quote rate","Stocker dans les taux d'évaluation"
"Credit Memo","Avoir"
"Quote currency","Estimer la devise"
"My Orders","Mes commandes"
"Discover","Découvrir"
"State/Province","État/Région"
"First Name","Prénom"
"Store Credit","Carte de crédit du magasin"
"No invoice for credit memo","Pas de facture pour un avoir"
"Customer Notes","Aide-mémoire client"
"Email","Email"
"Pending","En attente"
"There's not enough qty of product '%s' in invoice to return","Produit '%s' en quantité insuffisante dans la facture pour le retourner"
"Fax","Fax"
"Returned","Retourné"
"Canceled","Annulé"
"Unknown invoice type","Type de facture inconnu"
"Company","Entreprise"
"Errors during order creation","Erreurs lors de la création de commande"
"Store currency","Devise du magasin"
"Discount","Remise"
"American Express","American Express"
"Zip/Postal Code","Code postal"
"Sent","Envoyé"
"Shipping Method","Mode de livraison"
"Subtotal","Sous-total"
"Last Name","Nom de famille"
"Unknown Status","Statut inconnu"
"Base currency","Devise de base"
"Backordered","En attente de stock"
"Visa","Visa"
"Quote Status","Statut d'estimation"
"Grand Total","Montant global"
"Payed","Payé"
"Order Details","Détails de la commande"
"Shipped","Livré"
"Master Card","Master Card"
"Mixed","Assortiment"
"Original order ID","Identifiant de commande original"
"Store to Base rate","Stocker dans les taux de base"
"Same as billing","Identique à la facturation"
"No order for invoice","Pas de commande pour la facture"
"Partial","Partiel"
"Unknown Type","Type inconnu"
"Weight","Poids"
"Shipping & Handling","Livraison & traitement"
"Order Invoices","Factures"
"Street Address","Voie"
"Tax","TVA"
"Telephone","Téléphone"
"There's not enough qty of product '%s' in order to ship","Produit '%s' en quantité insuffisante dans la commande pour la livrer"
"Coupon","Bon de réduction"
"Invoice","Facture"
"Gift certificate","Chèque cadeau"
"Order #%s - %s","Commande N°%s - <small><em>%s</em></small>"
"Shipping Amount","Montant de la livraison"
"Ship to","Livrer à"
"View Order","Voir la commande"
"Price","Prix"
"Billing Address","Adresse de facturation"
"Order Date: %s","<strong>Date de commande:</strong> %s"
"Print All Invoices","Imprimer toutes les factures"
"Order Total","Total de la commande"
"Status","Statut"
"Payment Method","Mode de paiement"
"Track Order","Suivre la commande"
"View All","Tout voir"
"Recent Orders","Commandes récentes"
"Date","Date"
"Qty Ordered","Quantité commandée"
"My Orders - Details","Mes commandes - Détails"
"About Your Order","A propos de votre commande"
"Product Name","Nom de produit"
"Tax Amount","Montant TVA"
"Invoice #%s","Facture N°%s"
"Items Ordered","Articles commandés"
"Order #","N° de commande"
"Order Status","Statut de commande"
"View Invoices","Voir les factures"
"Order #%s","Commande N°%s"
"You have placed no orders.","Vous n'avez pas passé de commande."
"Qty Shipped","Quantité livrée"
"Order Subtotal","Sous-total de la commande"
"Print Invoice","Imprimer la facture"
"Back to My Orders","Retour à mes commandes"
"Shipping Address","Adresse de livraison"
"From:","De:"
"Gift Message","Message du cadeau"
"Item qty declare error","Erreur de déclaration de la quantité d'articles"
"Message:","Message:"
"To:","À:"
