To Fixed Value,Til fast værdi
Customer registered: %s,Kunden oprettede konto: %s
Row total in cart,Antal varer i kurv
Description: %s,Beskrivelse: %s
Customer is new buyer: %s,Kunden er førstegangskøber: %s
Expire at: %s,Udløber ved: %s
By Fixed value,Med fast værdi
Update the Product,Opdater produktet
To Percentage,Til procent
Attribute Set,Sæt af egenskaber
Start at: %s,Starter ved: %s
Product attribute combination,Produktattribut-kombination
By Percentage,Med procent
Price in cart,Pris i kurv
Quantity in cart,Antal i kurv
Name: %s,Navn: %s
Update product's %s %s: %s,Opdater produktets %s %s: %s
Invalid item entity,Ugyldig enhed
Conditions combination,Betingelseskombination
Special price,Specialpris
