Proceed to Checkout,Gå til betaling
Edit,Rediger
Add to Cart,Læg i kurv
Edit Items,Tilføj/fjern produkter
Remove,Fjern
Continue,Fortsæt
Forgot an Item?,Glemt et produkt?
Shopping Cart is Empty,Indkøbskurven er tom
Login,Log ind
Add New Address,Tilføj ny adresse
Default Billing,Betaling (standard)
Enter a New Address,Indtast ny adresse
Checkout as Guest,Betal som gæst
Discount Codes,Rabatkoder
Select State/Province...,Vælg amt/område...
Continue to Review Your Order,Forsæt til ordreoversigten
Your order has been received,Vi har modtaget din ordre.
"Can not add item to shopping cart","Varen kunne ikke lжgges i kurven."
"Data saving problem","Kunne ikke gemme."
"Please specify the product(s) quantity","Angiv venligst produktantal"
