"Added","Tilf𪥴"
"Average rating","Gns. karakter"
"Bought from wishlists","Købt fra ønskesedler"
"CSV","CSV"
"Carts","Indkøbskurve"
"Created at","Oprettet den"
"Customer","Kunde"
"Customer Tags","Kunde-tags"
"Customers","Kunder"
"Customers Report","Kunderapport"
"Customers Reviews","Kunders bedømmelser"
"Customers Tags","Kunders tags"
"Customers that have wishlist: %s%","Kunder med ønskeseddel: %s%"
"Detail","Beskrivelse"
"First Name","Fornavn"
"Hits","Hits"
"ID","ID"
"Items in Cart","Varer i kurv"
"Last Name","Efternavn"
"Last Review","Sidste bedømmelse"
"Name","Navn"
"Number Added","Antal tilføjet"
"Number Fulfilled","Antal gennemført"
"Number Of Historical Uses","Number Of Historical Uses"
"Number Of Reviews","Antal bedømmelser"
"Number Of Uses","Antal gange brugt"
"Number Purchased","Antal varer købt"
"Number Viewed","Vist (antal gange)"
"Number of Reviews","Antal bed𭭥lser"
"Number of Total Tags","Antal tags i alt"
"Number of Unique Tags","Antal unikke tags"
"Number of Views","Number of Views"
"Number of items bought from a wishlist: %s","Antal varer købt fra en ønskeseddel: %s"
"Number of times deleted","Slettet (antal gange)"
"Number of times wishlists have been shared (emailed): %s","Antal gange ønskesedler er blevet delt (pr. e-mail): %s"
"Number of wishlist conversions: %s","Antal ønskeseddelskonverteringer: %s"
"Number of wishlist referrals: %s","Antal ønskesedler produktet står på: %s"
"Number of wishlists: %s","Antal ønskesedler: %s"
"Orders","Ordrer"
"Poducts Report","Produkter"
"Popular Tags","Populære tags"
"Popularity","Popularitet"
"Price","Pris"
"Product Name","Produktnavn"
"Product Reviews","Produktbedømmelser"
"Product Tags","Produkt-tags"
"Products","Produkter"
"Products Report","Produkter"
"Products Reviews","Produkters bedømmelser"
"Products Tags","Produkters tags"
"Reports","Rapporter"
"Results","Resultater"
"Revenue","Overskud"
"Review","Bedømmelse"
"Reviews","Bedømmelser"
"Search Report","Søgninger"
"Shopcart Products","Produkter i indkøbskurve og ordrer"
"Shopping Cart","Indkøbskurv"
"Shopping Cart Report","Indkøbskurv"
"Submitted In","Indsendt fra"
"Tag","Tag"
"Tag Detail","Tag - detaljer"
"Tag Name","Navn"
"Tag use","Tag-anvendelse"
"Title","Titel"
"Total","Total"
"Total Tags","Antal tags (total)"
"Visible In","Synlig i"
"Wishlist Report","Ønskesedler"
"Wishlist vs. Regular Order","ٮskeseddel vs. alm. ordre"
"Wishlists","Ønskesedler"
"XML","XML"
