ID,Kennnummer
Action,Aktion
Edit,Bearbeiten
[GLOBAL],[GLOBAL]
[WEBSITE],[WEBSITE]
"[STORE VIEW]","[STORE VIEW]"
Status,Status
"Sort Order",Sortierfolge
"Save and Continue Edit","Speichern und weiter bearbeiten"
Previous,Previous
Next,Next
Catalog,Katalog
"Select Category","Kategorie auswählen"
"Use Default Value","Standardwert verwenden"
"Default Values",Standardwerte
Category,Kategorie
"Edit Event...","Ereignis bearbeiten…"
"Add Event...","Ereignis hinzufügen…"
Events,Ereignisse
"Add Catalog Event","Katalogereignis hinzufügen"
"Back to Category","Zurück zur Kategorie"
"Edit Catalog Event","Katalogereignis bearbeiten"
"Catalog Event Information","Katalogereignis Information"
"Start Date",Startdatum
"End Date",Enddatum
Image,Foto
Upcoming,"In Kürze"
Open,Offen
Closed,Geschlossen
"Display Countdown Ticker On","Display Countdown Ticker On"
"Category Page","Kategorie Seite"
"Product Page",Produktseite
"Coming Soon","In Kürze"
"Sale Ends In","Schlussverkauf endet in"
"New Event","Neues Ereignis"
"Something went wrong while saving this event.","Something went wrong while saving this event."
"We did not upload your image.","We did not upload your image."
"You saved the event.","You saved the event."
"You deleted the event.","You deleted the event."
"%1 is required.","%1 is required."
"Please make sure the end date follows the start date.","Please make sure the end date follows the start date."
"The sale for this product is closed.","The sale for this product is closed."
"Some of these products can no longer be sold.","Some of these products can no longer be sold."
"Event for selected category","Ereignis für die ausgewählte Kategorie"
"Lister Block","Auflister Block"
Days,Days
Hrs,Hrs
Mins,Mins
Sec,Sec
"Preview Sale","Vorschau Schlussverkauf"
"Go To Sale","Gehe zu Schlussverkauf"
"View Sale","Vorschau Schlussverkauf"
"Catalog Events",Katalogereignisse
"Catalog Events Carousel","Katalogereignisse Karussell"
"List all open Catalog Events as a Paginated Carousel","Alle offenen Katalogereignisse in einem paginierten Karussell auflisten"
"Frame Size",Rahmengröße
"Number of Items to display at once","Anzahl der Artikel, die gleichzeitig angezeigt werden"
Scroll,Scrollen
"Number of Items to scroll per click","Anzahl der Artikel zum Scrollen pro Click"
"Block Custom Width","Individuelle Breite sperren"
"The width in pixels will be set automatically if this value is empty.","The width in pixels will be set automatically if this value is empty."
"Catalog Events Carousel Default Template","Katalogereignisse Karussell Standardvorlage"
"Category ID","Kategorie Ident.-Nr."
"Start On","Start On"
"End On","Endet am"
"Countdown Ticker","Countdown-Ticker anzeigen auf"
