"-- Please select --","-- Please select --"
"Card Gate Plus","Card Gate Plus"
"Cardgate payment failed","Pago de Cardgate fallido"
"Credit card (MasterCard, Visa, American Express, Maestro, V-Pay)","Credit card (MasterCard, Visa, American Express, Maestro, V-Pay)"
"Customer was redirected to Cardgate.","El cliente fue redirigido a Cardgate"
"Enabled","Habilitado"
"Hash Key","Tecla almohadilla"
"iDEAL (Netherlands)","iDEAL (Netherlands)"
"iDeal bank:","Banco iDeal:"
"Invalid Card Gate Request","Petición de Card Gate no Válida"
"Mister Cash (Belgium)","Mister Cash (Belgium)"
"Notified customer about creditmemo #%s.","Cliente notificado sobre la nota de crédito #%s."
"Notified customer about invoice #%s.","Cliente notificado sobre la factura #%s."
"Other banks","Otros bancos"
"Payment from Applicable Countries","Pago desde países aplicables"
"Payment from Specific Countries","Pago desde países específicos"
"Payment Option","Payment Option"
"Site Id","Id del sitio"
"SofortBanking (Germany, Switzerland, Austria, Belgium, United Kingdom)","SofortBanking (Germany, Switzerland, Austria, Belgium, United Kingdom)"
"Sort Order","Orden de selección"
"Test Mode","Modo de prueba"
"Test mode is available only for Credit card payment option.","Test mode is available only for Credit card payment option."
"Title","Título"
"You will be redirected to CardGate in a few seconds.","Serás redirigido a CardGate en unos segundos."
"You will be redirected to Cardgate website when you place an order.","Serás redirigido al sitio web de CardGate cuando hagas un pedido."
"You will be redirected to selected iDeal bank when you place an order.","Serás redirigido al banco iDeal seleccionado cuando hagas un pedido."
