"Intl Economy Freight","Intl Economy Freight","redundant (478 - /home/vasily/dev/magento/app/code/core/Mage/Usa/Model/Shipping/Carrier/Fedex.php)"
"Intl Priority Freight","Intl Priority Freight","redundant (477 - /home/vasily/dev/magento/app/code/core/Mage/Usa/Model/Shipping/Carrier/Fedex.php)"
"Invalid DHL XML code for type %s: %s","Invalid DHL XML code for type %s: %s","redundant (283 - /home/vasily/dev/magento/app/code/core/Mage/Usa/Model/Shipping/Carrier/Dhl.php)"
"Invalid DHL XML code type: %s","Invalid DHL XML code type: %s","redundant (276 - /home/vasily/dev/magento/app/code/core/Mage/Usa/Model/Shipping/Carrier/Dhl.php)"
"Invalid FedEx XML code for type %s: %s","Invalid FedEx XML code for type %s: %s","redundant (510 - /home/vasily/dev/magento/app/code/core/Mage/Usa/Model/Shipping/Carrier/Fedex.php)"
"Invalid FedEx XML code type: %s","Invalid FedEx XML code type: %s","redundant (503 - /home/vasily/dev/magento/app/code/core/Mage/Usa/Model/Shipping/Carrier/Fedex.php)"
"Invalid UPS CGI code for type %s: %s","Invalid UPS CGI code for type %s: %s","redundant (322 - /home/vasily/dev/magento/app/code/core/Mage/Usa/Model/Shipping/Carrier/Ups.php)"
"Invalid UPS CGI code type: %s","Invalid UPS CGI code type: %s","redundant (315 - /home/vasily/dev/magento/app/code/core/Mage/Usa/Model/Shipping/Carrier/Ups.php)"
"Invalid USPS XML code for type %s: %s","Invalid USPS XML code for type %s: %s","redundant (389 - /home/vasily/dev/magento/app/code/core/Mage/Usa/Model/Shipping/Carrier/Usps.php)"
"Invalid USPS XML code type: %s","Invalid USPS XML code type: %s","redundant (382 - /home/vasily/dev/magento/app/code/core/Mage/Usa/Model/Shipping/Carrier/Usps.php)"
Large,Large,"redundant (363 - /home/vasily/dev/magento/app/code/core/Mage/Usa/Model/Shipping/Carrier/Usps.php)"
Letter,Letter,"redundant (269 - /home/vasily/dev/magento/app/code/core/Mage/Usa/Model/Shipping/Carrier/Dhl.php)"
"Letter Center","Letter Center","redundant (281 - /home/vasily/dev/magento/app/code/core/Mage/Usa/Model/Shipping/Carrier/Ups.php)"
Library,Library,"redundant (299 - /home/vasily/dev/magento/app/code/core/Mage/Usa/Model/Shipping/Carrier/Usps.php)"
"Media Mail","Media Mail","redundant (298 - /home/vasily/dev/magento/app/code/core/Mage/Usa/Model/Shipping/Carrier/Usps.php)"
"Next Afternoon","Next Afternoon","redundant (264 - /home/vasily/dev/magento/app/code/core/Mage/Usa/Model/Shipping/Carrier/Dhl.php)"
"Next Day Air","Next Day Air","redundant (255 - /home/vasily/dev/magento/app/code/core/Mage/Usa/Model/Shipping/Carrier/Ups.php)"
"Next Day Air Early AM","Next Day Air Early AM","redundant (253 - /home/vasily/dev/magento/app/code/core/Mage/Usa/Model/Shipping/Carrier/Ups.php)"
"Next Day Air Early AM Letter","Next Day Air Early AM Letter","redundant (254 - /home/vasily/dev/magento/app/code/core/Mage/Usa/Model/Shipping/Carrier/Ups.php)"
"Next Day Air Intra (Puerto Rico)","Next Day Air Intra (Puerto Rico)","redundant (257 - /home/vasily/dev/magento/app/code/core/Mage/Usa/Model/Shipping/Carrier/Ups.php)"
"Next Day Air Letter","Next Day Air Letter","redundant (256 - /home/vasily/dev/magento/app/code/core/Mage/Usa/Model/Shipping/Carrier/Ups.php)"
"Next Day Air Saver","Next Day Air Saver","redundant (258 - /home/vasily/dev/magento/app/code/core/Mage/Usa/Model/Shipping/Carrier/Ups.php)"
"Next Day Air Saver Letter","Next Day Air Saver Letter","redundant (259 - /home/vasily/dev/magento/app/code/core/Mage/Usa/Model/Shipping/Carrier/Ups.php)"
No,No,"redundant (369 - /home/vasily/dev/magento/app/code/core/Mage/Usa/Model/Shipping/Carrier/Usps.php)"
Non-rectangular,Non-rectangular,"redundant (358 - /home/vasily/dev/magento/app/code/core/Mage/Usa/Model/Shipping/Carrier/Usps.php)"
None,None,"redundant (27 - /home/vasily/dev/magento/app/code/core/Mage/Usa/Model/Shipping/Carrier/Fedex/Source/Freemethod.php)"
"On Call Air","On Call Air","redundant (279 - /home/vasily/dev/magento/app/code/core/Mage/Usa/Model/Shipping/Carrier/Ups.php)"
"One Time Pickup","One Time Pickup","redundant (280 - /home/vasily/dev/magento/app/code/core/Mage/Usa/Model/Shipping/Carrier/Ups.php)"
Oversize,Oversize,"redundant (364 - /home/vasily/dev/magento/app/code/core/Mage/Usa/Model/Shipping/Carrier/Usps.php)"
Package,Package,"redundant (270 - /home/vasily/dev/magento/app/code/core/Mage/Usa/Model/Shipping/Carrier/Dhl.php)"
Parcel,Parcel,"redundant (350 - /home/vasily/dev/magento/app/code/core/Mage/Usa/Model/Shipping/Carrier/Usps.php)"
"Parcel Post","Parcel Post","redundant (297 - /home/vasily/dev/magento/app/code/core/Mage/Usa/Model/Shipping/Carrier/Usps.php)"
