"Add to Cart","Add to Cart","duplicate (45-/home/vasily/dev/magento/app/design/frontend/default/default/template/tag/product/result.phtml, 48-/home/vasily/dev/magento/app/design/frontend/default/default/template/tag/customer/view.phtml)"
"Add to Wishlist","Add to Wishlist","duplicate (46-/home/vasily/dev/magento/app/design/frontend/default/default/template/tag/product/result.phtml, 49-/home/vasily/dev/magento/app/design/frontend/default/default/template/tag/customer/view.phtml)"
"All Tags","All Tags","duplicate (99-/home/vasily/dev/magento/app/code/core/Mage/Tag/Block/All.php, 22-/home/vasily/dev/magento/app/design/frontend/default/default/template/tag/cloud.phtml)"
"Edit Tag","Edit Tag","duplicate (23-/home/vasily/dev/magento/app/design/frontend/default/default/template/tag/customer/edit.phtml, 27-/home/vasily/dev/magento/app/design/frontend/default/default/template/tag/customer/view.phtml)"
"My Tags","My Tags","duplicate (22-/home/vasily/dev/magento/app/design/frontend/default/default/template/tag/customer/tags.phtml, 23-/home/vasily/dev/magento/app/design/frontend/default/default/template/tag/customer/view.phtml)"
"Products tagged with '%s'","Products tagged with '%s'","duplicate (95-/home/vasily/dev/magento/app/code/core/Mage/Tag/Block/Product/Result.php, 23-/home/vasily/dev/magento/app/design/frontend/default/default/template/tag/product/result.phtml)"
"Unable to find any products tagged with '%s' in the current store","Unable to find any products tagged with '%s' in the current store","duplicate (52-/home/vasily/dev/magento/app/design/frontend/default/default/template/tag/product/result.phtml, 55-/home/vasily/dev/magento/app/design/frontend/default/default/template/tag/customer/view.phtml)"
"View All Tags","View All Tags","duplicate (24-/home/vasily/dev/magento/app/design/frontend/default/default/template/tag/customer/recent.phtml, 33-/home/vasily/dev/magento/app/design/frontend/default/default/template/tag/popular.phtml)"
