"# of Items (and above)","# of Items (and above)","redundant (87 - /home/vasily/dev/magento/app/code/core/Mage/Shipping/Model/Carrier/Tablerate.php)"
"# of Items vs. Destination","# of Items vs. Destination","redundant (81 - /home/vasily/dev/magento/app/code/core/Mage/Shipping/Model/Carrier/Tablerate.php)"
"Invalid Table Rate code for type %s: %s","Invalid Table Rate code for type %s: %s","redundant (101 - /home/vasily/dev/magento/app/code/core/Mage/Shipping/Model/Carrier/Tablerate.php)"
"Invalid Table Rate code type: %s","Invalid Table Rate code type: %s","redundant (93 - /home/vasily/dev/magento/app/code/core/Mage/Shipping/Model/Carrier/Tablerate.php)"
"Order Subtotal (and above)","Order Subtotal (and above)","redundant (86 - /home/vasily/dev/magento/app/code/core/Mage/Shipping/Model/Carrier/Tablerate.php)"
"Price vs. Destination","Price vs. Destination","redundant (80 - /home/vasily/dev/magento/app/code/core/Mage/Shipping/Model/Carrier/Tablerate.php)"
"Store Pickup","Store Pickup","redundant (45 - /home/vasily/dev/magento/app/code/core/Mage/Shipping/Model/Carrier/Pickup.php)"
"Weight (and above)","Weight (and above)","redundant (85 - /home/vasily/dev/magento/app/code/core/Mage/Shipping/Model/Carrier/Tablerate.php)"
"Weight vs. Destination","Weight vs. Destination","redundant (79 - /home/vasily/dev/magento/app/code/core/Mage/Shipping/Model/Carrier/Tablerate.php)"
