"%d PTS is equal to %s","%d PTS is equal to %s"
"%d PTS is equal to %s in Website Currency","%d PTS is equal to %s in Website Currency"
"%d Points (%s) available","%d Points (%s) available"
"%d Reward Points","%d Reward Points"
"%s in Website Currency is equal to %d PTS","%s in Website Currency is equal to %d PTS"
"%s is equal to %d PTS","%s is equal to %d PTS"
"Subscribe for Points Expiration warnings","Subscribe for Points Expiration warnings"
"Subscribe now and get %s Reward Points (%s).","Subscribe now and get %s Reward Points (%s)."
"Subscribe now and get %s Reward Points.","Subscribe now and get %s Reward Points."
"This Reward Exchange Rate does not exists.","This Reward Exchange Rate does not exists."
"Unknown action","Unknown action"
"Unlimited","Unlimited"
"Unsubscribtion failed.","Unsubscribtion failed."
"Up to %s Customer Conversions rewarded.","Up to %s Customer Conversions rewarded."
"Up to %s New Tags rewarded.","Up to %s New Tags rewarded."
"Up to %s Reviews rewarded.","Up to %s Reviews rewarded."
"Update Points","Update Points"
"Update Reward Points Balance","Update Reward Points Balance"
"Updated by Administrator","Updated by Administrator"
"Use my Reward Points","Use my Reward Points"
"Use my Reward Points, %d Points (%s) available","Use my Reward Points, %d Points (%s) available"
"Website","Website"
"You have been successfully unsubscribed.","You have been successfully unsubscribed."
"Your current balance is %s points.","Your current balance is %s points."
"Your current balance is: <strong>%d (%s)</strong>","Your current balance is: <strong>%d (%s)</strong>"
"about Reward Points","about Reward Points"
