"# of Items vs. Destination","# of Items vs. Destination"
"Price vs. Destination","Price vs. Destination"
"Weight (and above)","Weight (and above)"
"Store Pickup","Store Pickup"
"Invalid TableRate code type: %s","Invalid TableRate code type: %s"
"# Items (and above)","# Items (and above)"
"Weight vs. Destination","Weight vs. Destination"
"Invalid TableRate code for type %s: %s","Invalid TableRate code for type %s: %s"
"Order Subtotal (and above)","Order Subtotal (and above)"
