Continue,Continue,"duplicate (41-/home/vasily/dev/magento/app/design/frontend/default/default/template/checkout/standard/shipping.phtml, 36-/home/vasily/dev/magento/app/design/frontend/default/default/template/checkout/onepage/payment.phtml, 87-/home/vasily/dev/magento/app/design/frontend/default/default/template/checkout/onepage/billing.phtml, 78-/home/vasily/dev/magento/app/design/frontend/default/default/template/checkout/onepage/shipping.phtml, 28-/home/vasily/dev/magento/app/design/frontend/default/default/template/checkout/onepage/shipping_method.phtml, 37-/home/vasily/dev/magento/app/design/frontend/default/default/template/checkout/onepage/login.phtml)"
"Continue Shopping","Continue Shopping","duplicate (37-/home/vasily/dev/magento/app/design/frontend/default/default/template/checkout/multishipping/success.phtml, 31-/home/vasily/dev/magento/app/design/frontend/default/default/template/checkout/success.phtml)"
Country,Country,"duplicate (139-/home/vasily/dev/magento/app/code/core/Mage/Checkout/Block/Onepage/Abstract.php, 95-/home/vasily/dev/magento/app/code/core/Mage/Checkout/Block/Onepage.php, 24-/home/vasily/dev/magento/app/design/frontend/default/default/template/checkout/cart/shipping.phtml, 62-/home/vasily/dev/magento/app/design/frontend/default/default/template/checkout/onepage/billing.phtml, 61-/home/vasily/dev/magento/app/design/frontend/default/default/template/checkout/onepage/shipping.phtml)"
"Edit Address","Edit Address","duplicate (136-/home/vasily/dev/magento/app/code/core/Mage/Checkout/controllers/Multishipping/AddressController.php, 33-/home/vasily/dev/magento/app/design/frontend/default/default/template/checkout/multishipping/address/select.phtml)"
"Edit Items","Edit Items","duplicate (80-/home/vasily/dev/magento/app/design/frontend/default/default/template/checkout/multishipping/shipping.phtml, 71-/home/vasily/dev/magento/app/design/frontend/default/default/template/checkout/multishipping/overview.phtml)"
"Email Address","Email Address","duplicate (41-/home/vasily/dev/magento/app/design/frontend/default/default/template/checkout/onepage/billing.phtml, 42-/home/vasily/dev/magento/app/design/frontend/default/default/template/checkout/onepage/billing.phtml, 41-/home/vasily/dev/magento/app/design/frontend/default/default/template/checkout/onepage/shipping.phtml, 42-/home/vasily/dev/magento/app/design/frontend/default/default/template/checkout/onepage/shipping.phtml, 49-/home/vasily/dev/magento/app/design/frontend/default/default/template/checkout/onepage/login.phtml)"
Fax,Fax,"duplicate (68-/home/vasily/dev/magento/app/design/frontend/default/default/template/checkout/onepage/billing.phtml, 69-/home/vasily/dev/magento/app/design/frontend/default/default/template/checkout/onepage/billing.phtml, 68-/home/vasily/dev/magento/app/design/frontend/default/default/template/checkout/onepage/shipping.phtml, 69-/home/vasily/dev/magento/app/design/frontend/default/default/template/checkout/onepage/shipping.phtml)"
"First Name","First Name","duplicate (31-/home/vasily/dev/magento/app/design/frontend/default/default/template/checkout/onepage/billing.phtml, 32-/home/vasily/dev/magento/app/design/frontend/default/default/template/checkout/onepage/billing.phtml, 31-/home/vasily/dev/magento/app/design/frontend/default/default/template/checkout/onepage/shipping.phtml, 32-/home/vasily/dev/magento/app/design/frontend/default/default/template/checkout/onepage/shipping.phtml)"
"Invalid data","Invalid data","duplicate (74-/home/vasily/dev/magento/app/code/core/Mage/Checkout/Model/Type/Onepage.php, 105-/home/vasily/dev/magento/app/code/core/Mage/Checkout/Model/Type/Onepage.php, 171-/home/vasily/dev/magento/app/code/core/Mage/Checkout/Model/Type/Onepage.php, 201-/home/vasily/dev/magento/app/code/core/Mage/Checkout/Model/Type/Onepage.php, 219-/home/vasily/dev/magento/app/code/core/Mage/Checkout/Model/Type/Onepage.php)"
Items,Items,"duplicate (80-/home/vasily/dev/magento/app/design/frontend/default/default/template/checkout/multishipping/shipping.phtml, 71-/home/vasily/dev/magento/app/design/frontend/default/default/template/checkout/multishipping/overview.phtml)"
