Sales,Vanzari
"Duplicate Row #%s (Country ""%s"", Region/State ""%s"", Zip ""%s"" and Value ""%s"")","Coloana duplicata #%s (Tara ""%s"", Regiunea/Statul ""%s"", Zip/Codul Postal ""%s"" si Valoarea ""%s"")"
Header Text,Text de capatii
Invalid file upload attempt,Incercare invalida de incarcare a filei
The order you are trying to create invoice for no longer exists,Comanda la care incerca-ti sa creati factura, nu mai exista
Shipped to Last Name,Expediat la numele de familie
Votes Count,Numaraul de voturi
Edit User,Edita-ti folositorul
Add New Tax Rate,Adauga-ti o noua rata de taxe
Status,Statutul
Edit Poll Answer,Edita-ti raspunsul la pol
This user already added to the role.,Acest folositor este deja adaugat la rol.
Save Attribute,Salva-ti atributul
User ID,ID-ul folositorului
Do you really want to cancel the queue?,Vreti sa opriti rindul cu adevarat?
Save Rate,Salvati rata
Queue Start,Startul rindului
Cross-sells,X-Vanzare
Delete Rating,Sterge-ti ratarea
Import Rates From www.webservicex.net,Importa-ti ratele de la www.webservicex.net
Rule was successfully saved,Regula a fost salvata cu succes
Required,Ceruta
N/A,Nu este valabila
Continue,Continua-ti
Grid only,Numai grila
View Invoice,Vedeti factura
Use default,Folosi-ti baza
Category move error,Eroare in mutarea categoriei
Time,Ora
Set Root Category For Store,Seta-ti categoria principala pentru magazin
Backend Table Title,Titlul tablei de iesire
Product Information,Informatia produsului
New Website,Website nou
Tax Rate,Rata de taxe
Text,Text
Input Validation for Store Owner,Validarea intrarii pentru proprietarul magazinului
Revenue,Venit
No records found.,Nu se gasesc scripte.
Save Website,Salvati Website-ul
Last Activity,Ultima activitate
Included Product Categories,Categorii de produs incluse
Error while saving this tax class. Class with the same name already exists.,Eroare in salvarea aceste clase de taxe. O clasa cu acelasi nume exista deja.
Name In Store,Numiti magazinul
"Error while deleting this tax rule. Please, try again later.","Eroare in stergerea aceste reguli de taxe. Va rugam, incercati din nou mai tirziu."
User was successfully deleted,Folositorul a fost sters cu succes
New Currency,Moneda noua
Add New Review,Adaugati o noua revedere
Store Code,Codul magazinului
View Customers,Vedeti clientii
Number of Total Tags,Numarul total de cupoane
Role successfully saved.,Rolul a fost salvat cu succes.
Delete Block,Stergeti blocul
Subscriber,Abonat
Customer Since,Client din
Password Management,Administrarea parolei
Global Attribute,Atribute globale
Delete Attribute Set,Stergeti setul de atribute
Rating Name,Ratarea numelui
Paused,In pauza
Product ID,ID-ul produsului
Add Product,Adaugati produsul
Poll was successfully deleted,Polul a fost sters cu succes
Uses per coupon,Folosiri pe cupon
Format,Format
Configuration successfully saved,Configuratia a fost salvata cu succes
Coupon Code,Codul de cupon
No Items Found,Nu se gasesc obiecte
Checkout Price Rule,Regula de verificare a pretului
Use In Layered Navigation,Folositi navigarea in treapta
Invalid Table Rates File Format,Formatul de fila invalida pentru tabela de rate
Website Code,Codul de website
Save Tag,Salvati cuponul
Tag Name,Numele cuponului
Manage Currencies,Administrati monezile
Credit Memo was not saved,Memo de credit nu a fost salvat
Product Tax Class Information,Informatia de taxa a clasei de produs
new customer,client nou
Unable to find an attribute to delete,Nu am putut gasi un atribut pentru stergere
Delete Selected Group,Stergeti grupul selectat
Delete Rule,Stergeti regula
For matching items only,Numai pentru obiecte egale
Url,Url
Customer Group was successfully saved,Grupul clientului a fost salvat cu succes
Delete Review,Stergeti recenzia
Maximum Qty Discount is Applied to,Rabatul de cantitate maxima a fost aplicat la
Grid (default) / List,Grila (standard) / Lista
Manage Product Attributes,Administrati atributele produsului
New System Template,Pre-facuta noua de sistem
Website Name,Numele website-ului
Edit Block,Editagti blocul
View,Vedeti
Delete Customer,Stergeti clientul
"Please, select Product Tax Class","Va rugam, selectati clasa de taxa a produsului"
Search was successfully deleted,Cautarea a fost stearsa cu succes
Save Newsletter,Salvati scrisoarea de noutati
Letters,Scrisori
Synonym for,Sinonim pentru
Conditions,Conditii
or,sau
%s Tax Classes,%s Clase de taxe
Attribute Identifier<br/>(For internal use. Must be unique with no spaces),Identificator de atribute<br/>(Pentru folosire interna. Trebuie sa fie unice fara spatii)
Convert to Plain Text,Convertiti la text simplu
Apply,Aplicati
Apply Rules,Aplicati regulile
Save Search,Salvati cautarea
Synonym For,Sinonim pentru
Review was saved successfully,Recenzia a fost salvata cu succes
Delete Selected Problems,Stergeti problemele selectate
"Invalid Country ""%s"" in the Row #%s","Tara invalida ""%s"" in linia #%s"
You cannot delete account of yourself,Nu puteti sterge acontul vostru
From Date,De la data
Number Of Reviews,Numarul de recenzii
Manage Label / Options,Administrati Marca / Optiunile
Not Sent,Ne-trimis
Discount amount,Suma de rabat
"Error while adding a group. Please, try again later.","Eroare la adaugarea in grup. Va rugam incercati din nou mai tirziu."
Resume,Reinceput
Redirect URL,Redirectia catre URL
Invoice was charged succesfully,Factura a fost schimbata cu succes
Sort order,Ordinea de sortare
Delete Store,Sterge magazinul
