Sales,Vanzari
Visibility,Vizibilitate
Edit Template,Editati pagina pre-facuta
Frontend Properties,Proprietatile fatadei
Pending,Asteptind
Error while deleting a group. Please try again later.,Eroare in stergerea unui grup. Va rugam incercati din nou mai tirziu.
Use website,Folositi website-ul
No problems found,Nu s-au gasit probleme
Edit Store '%s',Editati magazinul '%s'
Delete Customer Group,Stergeti grupul de client
CMS Blocks,Blocuri CMS
Popular Tags,Cupoane populare
Edit Page,Editati pagina
Edit Tax Rate,Editati rata de taxa
Set Name,Setati numele
Tax class,Clasa de taxa
Add New Rule,Adaugati o noua regula
Uses per customer,Folosiri pe client
HTTPS (SSL),HTTPS (SSL)
Template Content,Continutul paginii pre-facute
Order was not cancelled,Comanda nu a fost stearsa
Invoice #%s,Factura #%s
Comparable on Front-end,Comparabil la fatada
Save Template,Salvati pagina pre-facuta
Newsletter Subscription,Abonament la scrisoarea de noutati
Delete User,Stergeti folositorul
"Invalid Shipping Price ""%s"" in the Row #%s","Pret de livrare ""%s"" invalid in linia #%s"
Customers Tags,Cupoanele clientilor
Image,Imagine
Subscribers From,Abonati de la
Account Information,Informatia acontului
Order status was successfully changed,Statutul comenzii a fost schimbat cu succes
New Set Name,Noul nume setat
Create Order,Creati comanda
Invoice was not saved,Factura nu a fost salvata
Invoice was updated succesfully,Factura a fost actualizata cu succes
Invoice #,Factura #
Static,Static
Date Updated,Data actualizarii
Tag use,Cupon folosit
Order was successfully cancelled,Comanda a fost stearsa cu succes
Message,Mesaj
Subject,Subiect
Save Customer Group,Salvati grupul clientului
This page no longer exists,Aceasta pagina nu mai exista
Search was successfully saved,Cautarea a fost salvata cu succes
Rating information,Informatia ratarii
Answer Title,Titlul raspunsului
Order #%s (%s),Comanda #%s (%s)
No,Nu
Edit Invoice #,Editati factura #
Edit Attribute Set '%s',Editati setul de atribute '%s'
All Products,Toate produsele
Export CSV,Exportati fila CSV
Save And Resume,Salvati si continuati
View Newsletter,Vedeti scrisoarea de noutati
To Date,La data
Matching Products, Produse egale
The page you are trying to save no longer exists,Pagina pe care incercati sa o salvati nu mai exista
Save Class,Salvati clasa
Edit %s Tax Class,Editati %s clasa de taxa
User description,Descriptia folositorului
Config,Configuratie
Order Total,Totalul comenzii
Store,Magazin
"Please, select Customer Tax Class","Va rugam selectati clasa de taxe a clientului "
Error while saving this set. Set with the same name already exists.,Eroarein salvarea acestui set. Un set cu acelasi nume exista deja.
Add New Role,Adaugati un nou rol
Discount,Rabat
Unsubscribe Selected,De-abonat selectat
Yes/No,Da/Nu
Edit Email Template,Editati email-ul pre-facut
Visible In,Visibil in
Manage Blocks,Administrati blocurile
New Tax Rule,Regula noua de taxa
This block no longer exists,Acest bloc nu mai exista
Delete Attribute,Stergeti atributul
Decimal,Decimal
Edit System Template,Editati sistemul pre-facut
Frontend Model,Model de fatada
Default Store,Magazin standard
Detailed Rating,Ratare detaliata
Save And Continue Edit,Salvati si continuati editarea
Are you sure you want to do this?,Sinteti sigur ca vreti sa faceti asta?
Customer Tax Class,Clasa de taxe a clientului
Feature Products,Produse caracteristice
New Review,Recenzie noua
Number of Uses,Numar de folosirir
Invalid Answer,Raspuns invalid
Website Information,Informatia Website-ului
Attribute set with the same name already exists.,Atributul setat cu acelasi nume exista deja.
Searchable,Cautabil
Error while saving this role. Please try again later.,Eroare in salvarea acestui rol. Va rugam incercati din nou mai tirziu.
Group was successfully deleted,Grupul a fost sters cu succes
Order was not changed,Comanda nu a fost schimbata
Per Item,Pe obiect
Edit Product Attribute,Editati atributul produsului
System Properties,Proprietatile sistemului
County,Tara
General Information,Informatie generala
ex. http://domain.com,ex. http://domain.com
Manage Catalog Categories,Administrati categoriile catalogului
Wishlist vs. Regular Order,Lista de dorinte contra comanda normala
New Template,Pagina pre-facuta noua
Delete Website,Stergeti website-ul
All stores,Toate magazinele
Purchased On,Cumparat la
Edit Order Status,Editati statutul comenzii
Layout,Aparitie
Password Confirmation,Confirmarea parolei
Tag was successfully deleted,Cuponul a fost sters cu succes
Catalog Searches,Cautari de catalog
To,La
Error while deleting this role. Please try again later.,Eroare in stergerea acestui rol. Va rugam incercati din nou mai tirziu.
Select All Stores,Selectati toate magazinele
Offline,Afara de pe linie
Recently Viewed,Vazut recent
Description,Descriptie
Tax class was successfully deleted,Clasa de taxa a fost stearsa cu succes
Are you sure?,Sinteti sigur(a)?
Never,Niciodata
Block Information,Informatia de bloc
Email,Email
Included Customer Groups,Grupuri de client incluse
Disable,Invalidati
Delete Class,Stergeti clasa
Poll Information,Informatia de pol
Create Newsletter Template,Creati o scrisoare de noutati pre-facuta
Coupons,Cupoane
Customer,Client
Last Review,Ultima recenzie
Polls,Poluri
Edit,Editati
Country,Tara
Remove,Stergeti
Account successfully saved,Acontul salvat cu succes
Days in Wishlist,Zile in lista de dorinte
Page was successfully saved,Pagina a fost salvata cu succes
Manage Product Sets,Administrati seturile de produs
Review Details,Revedeti detaliile
Add New Rating,Adaugati o noua ratare
for,pentru
You cannot update this attribute,Nu puteti actualiza acest atribut
Attribute Code,Codul atributului
Add New Set,Adaugati un set nou
Associated Products,Produse asociate
Edit Newsletter Template,Editati scrisoarea de noutati pre-facuta
There is already a customer registered using this email,Este deja un client inregistrat folosind aceast email
Processed,Procesat
Credit Card Type,Cartea de credit tip
Rating isn't Available,Ratarea nu este valabila
"This tab contains invalid data. Please, solve the problem before saving.","Aceasta casuta contine data invalida. Va rugam rezolvati aceasta problema inainte de salvare."
Remove Item,Stergeti obiectul
Subscribe to Newsletter,Abonati-va la scrisoarea de noutati
Are you sure that you want to delete this template?,Sinteti sigur ca vreti sa stergeti aceasta pagina pre-facuta?
3 stars,3 stele
Order Date: %s,Data comenzii: %s
Number of times wishlists have been shared (emailed): %s,Numarul de cite ori lista de dorinte a fost impartita (trimisa cu e-mail): %s
Double click on a group to rename it,Apasati dublu pe un grup pentru a il renumi
Total Due,Total datorat
Gift Certificate,Certificat de cadou
Assigned Answers,Raspunsuri atribuite
Fax,Fax
Magento Admin,Administratia Magento
Newsletter Message Preview,Prevederea mesajului scrisorii de noutati
Name on the Card: %s,"<strong>Numele pe carte:</strong> <span class=""nowrap"">%s</span>"
4 stars,4 stele
Company,Companie
Invoice Date,Data facturii
Visitors,Visitatori
5 stars,5 stele
Choose Store,Alegeti magazinul
Import Tax Rates,Importati ratele de taxa
Attribute Name:,Numele de atribut:
Product In Stores,Produs in magazine
Option Title:,Titlul optiunii:
Order Status,Statutul comenzii
Shipping,Livrarea
Unassigned Attributes,Atribute ne-repartizate
"Sorry, this feature is coming soon...","Imi pare rau, aceasta caracteristica va veni in curind..."
Option,Optiune
Add User to Role,Adaugati folositorul la regula
Invoice Status: %s,Statutul facturii: %s
Magento Commerce - Administrative Panel,Magento Commerce - Panou administrativ
Fixed,Fixat
Name on the Card,Numele pe card
Move Item to:,Mutati la:
Same as Billing Address,Aceeasi ca adresa de factura
Are you sure you want to cancel adding of this address?,Sinteti sigur ca vreti sa stergeti adaugarea acestei adrese?
Interface Locale: %s,Interfata locala: %s
Apply Coupon Code,Aplicati codul de cupon
Invoice Date: %s,Data facturii: %s
Expiration Date: %s,"<strong>Data de exirare:</strong> <span class=""nowrap"">%s</span>"
per page,pe pagina
Add New Class,Adaugati o clasa noua
Super product attributes configuration,Configuratia atributelor pentru super produs
Magento ver. %s,Magento <strong>ver. %s</strong>
Who's Online,Cine este pe linie
Previous page,Pagina anterioara
Something went wrong...,S-a intimpat ceva gresit...
Lifetime Sales,Vinzari de toata viata
Default Billing Address,Adresa standard de factura
"Set root category for this store in the <a href=""%s"">configuration</a>","Setati adresa de radacina a acestui magazin in a-<a href=""%s"">configuratie</a>"
Set as Default Shipping Address,Setati ca adresa standard de livrare
 and above., si deasupra.
Logged in as %s,Intrat ca <strong>%s</strong>
Failed,Cazut
Are you sure that you want to delete this tag?,Sinteti sigur ca vreti sa stergeti acest cupon?
Option:,Optiune:
Customers that have wishlist: %s%,Clienti care au liste de dorinte: %s%
Are you sure you want to delete this address?,Sinteti sigur ca vreti sa stergeti aceasta adresa?
Percentage,Procentaj
Log in to Admin Panel,<em>Intrati</em> in panoul de administratie
Thumbnail,Imagine mica
Please enter a new group name,Va rugam intrati un nume de grup nou
Backups Control,Controlul pentru backup
Add to Queue,Adaugati la rind
Number of items bought from a wishlist: %s,Numarul de obiecte cumparate din lista de dorinte: %s
Newsletter Subscribers,Abonati la scrisoarea de noutati
Set as Default Billing Address,Setati ca adresa standard de factura
Are you sure you want to delete it?,Sinteti sigur ca vreti sa stergeti?
"We're in our typing table, coding away more features for Magento. Thank you for your patience.","Sintem in tabela noasta intrind produse, si codificind alte caracteristici pentru Magento.<br/>Va multumim pentru pacienta."
User Name:,Numele folositorului:
Order Comment:,Comentariul comenzii:
Card Verification Number,Numarul de verificare a card-ului
&copy; Copyright 2007 Varien. Magento is a trademark of Irubin Consulting Inc,"&copy; Drepturi de copiere 2007 <a href=""http://www.varien.com"" target=""varien-external"">Varien</a>. Magento este o marca a companiei Irubin Consulting Inc"
Default Shipping Address,Adresa standard de livrare
Customer Balance,Balanta clientului
Current Configuration Scope:,Scopul curent de configuratie:
Please select one of each of the ratings above,Va rugam selectati una din ratarile de mai sus
Log Out,Iesire
"Sorry, no quotes are available for this order at this time.","Imi pare rau, in acest timp nu sint cote valabile pentru aceasta comanda."
Customer has no addresses,Clientul nu are adrese
Comment,Comentariu
Loading...,Incarcam...
Credit Memo Date: %s,Data memo-ului de credit: %s
Price:,Pret:
Qty To Return,Cantitatea returnata
New Customer Address,Adresa noua a clientului
Export to:,Exportati la:
Images,Imagini
Total Paid,Total platit
Credit Card Number: %s,"<strong>Numarul cartii de credit:</strong> <span class=""nowrap"">%s</span>"
Update Qty,Actualizati cantitatea
Product Categories,Categoriile produsului
City,Orasul
Items Shipped,Obiecte livrate
Select from existing customer addresses:,Selectati din adresele existente ale clientilor:
Please confirm site switching. All data that hasn't been saved will be lost.,Va rugam confirmati schimbarea website-ului. Toata data care nu a fost salvata va fi pierduta.
Primary Billing Address,Adresa primara de factura
Order History,Istoria comenzii
Date and Time,Data si ora
Street Address,Adresa strazii
Are you sure you want to delete this category?,Sinteti sigur ca vreti sa stergeti aceasta categorie?
User Roles,Roluri de folositor
Answer Title:,Titlul raspunsului:
Customer Group: %s,<strong>Grupul clientului:</strong> %s
Groups,Grupuri
Are you sure the you want to remove this item?,Sinteti sigur ca vreti sa stergeti acest obiect?
Number of wishlist conversions: %s,Numarul de conversii in lista de dorinte: %s
Unable to complete request. Please try again later.,Nu am putut completa cererea. Va rugam sa incercati din nou mai tirziu.
Global Record Search,Cautare globala de referinta
Send Comment to the Customer,Trimiteti comentarii la client
Sort Order,Sortati comanda
Please select one or more attributes.,Va rugam selectati unul sau mai multe atribute.
Please add one or more options,Va rugam adaugati una sau mai multe optiuni
Connect with the Magento Community,Conectati-va cu intreaga comunitate Magento
Manage Options (values of your attribute),Administrati optiunile (valorile atributului)
Add New Tax Rule,Adaugati o noua regula de taxa
Are you sure you want to delete this user from this role?,Sinteti sigur ca vreti sa stergeti acest folositor din acest rol?
Help Us Keep Magento Healthy - Report All Bugs,"Ajutati-ne sa tinem Magento sanatos - <a href=""http://www.magentocommerce.com/bug-tracking"" target=""varien_external""><strong>Raportati toate problemele</strong</a>>"
Dashboard Control,Panoul de control
Credit Card Number,Numarul cartii de credit
Total %d records found,Total <strong>%d</strong> referinte gasite
Sales Statistics,Statistici de vinzari
Purchase Order Number,Numarul comenzii de vinzare
Average Sale,Vinzare medie
Log into Magento Admin Page,Intrati in pagina de administatie Magento
Account Created in: %s,<strong>Acont creat in:</strong> %s
Order Status: %s,Statutul comenzii: %s
Password:,Parola:
Personal Information,Informatia personala
Votes Count:,Voturi numarate:
Next page,Pagina urmatoare
(Copy data from: %s),(Copiati data din: %s)
Export Tax Rates,Exportati ratele de taxa
1 star,1 stea
Items that you don't want to show in the catalog or search results should have status 'Disabled' in the desired store.,Obiectele sau rezultatele de cautare pe care nu vreti sa fie aratate in catalog vor avea statutul 'invalid' in magazinul dorit.
Add New Template,Adaugati o noua pagina pre-facuta
Change Order Status,Schimbati statutul comenzii
Credit Card Type: %s,"<strong>Carte de credit tip:</strong> <span class=""nowrap"">%s</span>"
Add to Order,Adaugati la comanda
What is this?,Ce este aceasta?
Invoice Status: Paid,Statutul facturii: Platit
Customer Addresses,Adresele clientului
Purchase Order Number: %s,"<strong>Numarul de Comanda a cumparaturii:</strong> <span class=""nowrap"">%s</span>"
Expiration Date: %s/%s,Data expirarii: %s/%s
Expiration Date,Data expirarii
Last Log In: %s (%s),<strong>Ultima intrare:</strong> %s (<strong>%s</strong>)
Number of wishlists: %s,Numarul listelor de dorinte: %s
Big Image,Imagine mare
Tax Rates Import / Export,Import / export de rate de taxe
Magento Logo,Logo-ul lui Magento
A name is required,Este cerut un nume
images/logo.gif,images/logo.gif
Email Address,Adresa de email
Email Preview,Email prevazut
If you do not specify an option value for a store then the default value will be used.,Daca nu specificati o valoare a optiunii pentru un magazin, atunci va fi folosita valoarea standard.
of %s pages,de &nbsp;<strong>%s</strong> pagini
Account Created on: %s,<strong>Account Creata la:</strong> %s
Credit Card Number: xxxx-%s,"<strong>Numarul cartii de credit:</strong> <span class=""nowrap"">xxxx-%s</span>"
Haven't been charged yet,Nu a fost inca schimbat
Customer Notes,Notele clientului
Login,Intrare
Page,Pagina
Add New Address,Adaugati o noua adresa
Are you sure that you want to strip all tags?,Sinteti sigur ca vreti sa deposedati toate cupoanele?
Magento &trade; is a registered Trademark of Irubin Consulting Inc. DBA Varien. &copy; Copyright 2007.,"Magento &trade; este o marca de trade inregistrata a companiei Irubin Consulting Inc. DBA <a href=""http://www.varien.com"" target=""varien_external"">Varien</a>. &copy; Drept de copiere 2007."
Roles Resources,Rsurse de roluri
"Manage Titles (Size, Color, etc.)","Administrati titlurile (Marime, Culoare etc.)"
Are you sure that you want to strip tags?,Sinteti sigur ca vreti sa deposedati cupoanele?
Are you sure that you want to remove this item?,Sinteti sigur ca vreti sa stergeti acest obiect?
You cannot remove system attribute from this set.,Nu puteti sterge atributul de sistem din acest set.
This group contains system attributes. Please move system attributes to another group and try again.,Acest grup contine atribute de sistem. Va rugam mutati atributele de sistem intr-un alt grup si incercati din nou.
The information in this tab has been changed.,Informatia din acest cupon a fost schimbata.
Number of wishlist referrals: %s,Numarul referintelor la lista de dorinte: %s
Today is %s,Astazi este %s
2 stars,2 stele
