"City","Orasul"
"Store to Quote rate","Rata de magazin la cota"
"Credit Memo","Memo de credit"
"Quote currency","Cota-ti moneda"
"My Orders","Comenzile mele"
"Discover","Discover"
"State/Province","Statul/Provincia"
"First Name","Numele"
"Store Credit","Credit de magazin"
"No invoice for credit memo","Nu este factura pentru memo de credit"
"Customer Notes","Notele clientului"
"Email","Email"
"Pending","In decizie"
"There's not enough qty of product '%s' in invoice to return","Nu este cantitate destula pentru returnare a produsului '%s' din factura"
"Fax","Fax"
"Returned","Returnat"
"Canceled","Sters"
"Unknown invoice type","Tip de factura necunoscut"
"Company","Companie"
"Errors during order creation","Erori in crearea comenzii"
"Store currency","Moneda magazinului"
"Discount","Rabat"
"American Express","American Express"
"Zip/Postal Code","Zip/Codul postal"
"Sent","Trimis"
"Shipping Method","Metoda de livrare"
"Subtotal","Subtotal"
"Last Name","Numele de familie"
"Unknown Status","Statut necunoscut"
"Base currency","Moneda de baza"
"Backordered","Fara stoc curent"
"Visa","Visa"
"Quote Status","Statutul cotei"
"Grand Total","Total complet"
"Payed","Platit"
"Order Details","Detaliile comenzii"
"Shipped","Livrat"
"Master Card","Master Card"
"Mixed","Mixat"
"Original order ID","ID-ul comenzii originale"
"Store to Base rate","Stocheaza la rata de baza"
"Same as billing","La fel ca factura"
"No order for invoice","Nici o comanda pentru aceasta factura"
"Partial","Partial"
"Unknown Type","Tip necunoscut"
"Weight","Greutate"
"Shipping & Handling","Livrare si minuire"
"Order Invoices","Facturile comenzii"
"Street Address","Adresa de strada"
"Tax","Taxa"
"Telephone","Telefon"
"There's not enough qty of product '%s' in order to ship","Nu este catitate destula a produsului '%s' pentru a fi livrat"
"Coupon","Cupon"
"Invoice","Factura"
"Gift certificate","Certificat de cadou"
"Order #%s - %s","Comanda #%s - <small><em>%s</em></small>"
"Shipping Amount","Suma de livrare"
"Ship to","Livrat la"
"View Order","Vedeti comanda"
"Price","Pret"
"Billing Address","Adresa de factura"
"Order Date: %s","<p><strong>Data comenzii:</strong> %s</p>"
"Print All Invoices","Imprimati toate facturile"
"Order Total","Totalul comenzii"
"Status","Statutul"
"Payment Method","Metoda de plata"
"Track Order","Urmariti comanda"
"View All","Vedeti tot"
"Recent Orders","Comenzi recente"
"Date","Data"
"Qty Ordered","Cantitate comandata"
"My Orders - Details","Comenzile mele - Detalii"
"About Your Order","Despre comanda"
"Product Name","Numele produsului"
"Tax Amount","Suma de taxa"
"Invoice #%s","Factura #%s"
"Items Ordered","Obiecte comandate"
"Order #","Comanda #"
"Order Status","Statutul comenzii"
"View Invoices","Vedeti facturile"
"Order #%s","Comanda #%s"
"You have placed no orders.","Nu ati pus nici o comanda."
"Qty Shipped","Cantitate livrata"
"Order Subtotal","Subtotalul comenzii"
"Print Invoice","Imprimati factura"
"Back to My Orders","Inapoi la comenzile mele"
"Shipping Address","Adresa de livrare"
