"Edit Newsletter Subscription,""Edycja danych subskrybcji newslettera"""
"Address Information,""Informacje o adresie"""
"Edit Address Entry,""Edytuj wpis"""
"Edit Account Information,""Edytuj dane konta"""
"Additional Address Entries,""Dodatkowe adresy"""
"You have no additional entries in your address book.,""Nie masz dodatkowych adresów w ksiażce adresowej."""
"Forgot Your Password?,""Zapomniałeś hasła ?"""
"My Wishlist,""Lista życzeń"""
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.,""Tworząc konto w sklepie będziesz mógł szybciej składać zamówienia, śledzić statusy zamówień, korzystać z wielu adresów oraz wielu innych opcji."""
"You have placed no products yet.,""Nie składałeś jeszcze zamówień."""
"Newsletters,""Newslettery"""
"Your account balance is: %s,""Stan konta: <strong>%s</strong>"""
"You have no additional address entries in your address book.,""Nie masz innych wpisów w swojej książce adresowej."""
"Registered Customers,""Zarejestrowani klienci"""
"Default Billing Address,""Domyślny adres płatnika"""
"Confirm Password,""Potwierdź hasło"""
"New Address,""Nowy adres"""
"Grand Total: %s,""Suma całkowita: <strong>%s</strong>"""
"Use as my default billing address,""Użyj jako mojego domyślnego adresu <strong>płatności</strong>"""
"Are you sure you want to delete this address?,""Czy na pewno chcesz usunąć ten adres?"""
"Save,""Zapisz"""
"Current Password,""Aktualne hasło"""
"You are currently subscribed to 'General Subscription'.,""Jesteś zapisany na ogólny newsletter w naszym sklepie."""
"Edit Personal Information,""Edytuj dane personalne"""
"Continue Shopping,""Kontynuuj zakupy"""
"Manage Addresses,""Zarządzaj adresami"""
"View Order List,""Zobacz zamówienia"""
"Change Billing Address,""Zmień adres płatnika"""
"Items Order,""Items Order"""
"Primary Shipping Address,""Podstawowy adres płatnika"""
"* Required Fields,""* Pola wymagane"""
"You have no primary entries in your address book.,""Nie masz jeszcze adresów podstawowych w swojej książce adresowej"""
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity. Select a link below to view.,""Ze strony głównej konta masz podgląd swoich ostatnich działań. Zobacz je klikając w link"""
"Default Shipping Address,""Domyślny adres dostawy"""
"New Customers,""Nowi klienci"""
"Save Address,""Zapisz adres"""
"Use as my default shipping address,""Użyj jako mojego podstawowego adresu <strong>dostawy</strong>"""
"You are currently subscribed to our newsletter.,""Jesteś już zapisany na newsletter w naszym sklepie."""
"Change Password,""Zmień hasło"""
"You have placed no orders yet.,""Nie składałeś jeszcze zamówień."""
"Account Information,""Dane konta"""
"Back,""Powrót"""
"Save Password,""Zapisz hasło"""
"Please enter your email below and we\'ll send you a new password.,""Wpisz poniżej adres email aby otrzymać nowe hasło"""
"Sign up for our newsletter,""Zapisz się na newsletter"""
"Order #%s (%s),""Zamówienie nr.%s (%s)"""
"Contact Information,""Dane kontaktowe"""
"Primary Billing Address,""Podstawowy adres płatnika"""
"Order List...,""Lista zamówień..."""
"Status,""Status"""
"Order #,""Zamówienie nr."""
"My Reviews,""Twoje recenzje"""
"New Password,""Nowe hasło"""
"Date,""Data"""
"Login or Create an Account,""Zaloguj się lub załóż konto"""
"Shipping Method,""Forma dostawy"""
"Confirm New Password,""Potwierdź nowe hasło"""
"Shipping Information,""Informacje o wysyłce"""
"You are currently subscribed to no newsletters.,""Nie korzystasz z naszego newslettera."""
"If you have an account with us, please log in.,""Jeżeli posiadasz już konto w naszym sklepie, zaloguj się."""
"General Subscription,""Ogólny newsletter"""
"Last 5 Orders,""Ostatnie 5 zamówień"""
"Login Information,""Informacje o logowaniu"""
"New Address Entry,""Nowy adres"""
"Qty,""Ilość"""
"Shoppping Cart,""Koszyk"""
"Hello, %s!,""Witaj, %s!"""
"Personal Information,""Dane osobiste"""
"Submit,""Wyślij"""
"Default Addresses,""Domyślne adresy"""
"Details,""Szczegóły"""
"Please select region, state or province,""Wybierz województwo"""
"Product,""Produkt"""
"Delete Address,""Usuń adres"""
"Price,""Cena"""
"This is My Primary %s Address,""To jest twój podstawowy adres <strong>%s</strong>"""
"Street Address 2,""Ulica cd."""
"Address,""Adres"""
"To Cart,""Do koszyka"""
"Password,""Hasło"""
"Wishlist,""Lista życzeń"""
"Go to Address Book,""sowej"""
"You have been successfully logged out and will be redirected to our homepage in 5 seconds.,""Zostałeś wylogowany i w ciągu 5 sekund zostaniesz przeniesiony na stronę główną."""
"Email Address,""Adres email"""
"Remove,""Usuń"""
"You have no default billing address in your address book.,""Nie masz podstawowego adresu płatnika w książce adresowej."""
"Create an Account,""Utwórz konto"""
"Total,""Suma"""
"Addresses,""Adresy"""
"Subscribe,""Subskrybuj"""
"You have no default shipping address in your address book.,""Nie masz podstawowego adresu wysyłki w książce adresowej."""
"Change Shipping Address,""Zmień adres dostawy"""
"Retrieve your password here,""Odzyskaj swoje hasło"""
"Newsletter,""Newsletter"""
"Save Subscription,""Zapisz dane subskrybcji"""
