"Proceed to Checkout","Оформить заказ"
"Checkout method","Способ оформления"
"Please select shipping methods for all addresses","Пожалуйста, выберите способы доставки для всех адресов"
"Shipping Methods","Способы доставки"
"Payment method is not defined","Способ оплаты не определён"
"State/Province","Регион"
"Please specify the product option(s)","Пожалуйста, укажите опции товара"
"Edit Shipping Address","Редактировать адрес доставки"
"Order Success","Заказ оформлен"
"Create Billing Address","Создать адрес плательщика"
"Checkout","Оформить"
"Invalid data","Неверная информация"
"Edit Address","Редактировать адрес"
"Order Review","Обзор заказа"
"Billing Information","Информация о плательщике"
"Place Order","Подтвердить заказ"
"Change Billing Address","Изменить адрес плательщика"
"Select Addresses","Выберите адреса"
"Shipping Method","Способ доставки"
"Indefinite product type","Идентифицируйте тип товара"
"Cannot remove item","Не могу удалить товар"
"Total for this address","Всего для этого адреса"
"Product does not exist","Товар не найден"
"Country","Страна"
"Clear","Очистить"
"Shipping Information","Информация о доставке"
"Create Shipping Address","Создать адрес доставки"
"Edit Billing Address","Редактировать адрес плательщика"
"Some of the products you requested are not available in the desired quantity","Некоторые из заказанных Вами товаров недоступны в необходимом количестве"
"Some of the products you requested are unavailable","Некоторые запрошенные Вами товары недоступны"
"My Cart (%d item)","Моя корзина (%d товар)"
"Cannot update shopping cart","Не могу обновить корзину"
"Checkout with Multiple Addresses","Оформить с использованием разных адресов"
"Ship to Multiple Addresses","Доставить на разные адреса"
"My Cart","Моя корзина"
"Review Order","Комментарии к заказу"
"The item(s) marked in red are not available in the desired quantity. Please update the quantity of the item(s).","Товары, отмеченные красным, недоступны в необходимом количестве. Пожалуйста, обновите количество товара (ов)."
"This product is out of stock","Данного товара нет на складе"
"Payment Information","Информация об оплате"
"Requested quantity is not available","Запрошенное количество недоступно"
"Cannot move item to wishlist","Не могу переместить товар в отмеченные товары"
"My Cart (%d items)","Моя корзина (%d товаров)"
"There is already a customer registered using this email address","Покупатель с данным email адесром уже зарегистрирован"
"Send to","Кому"
"Remove Item","Удалить товар"
"Based on your selection, you may be interested in the following items:","Возможно, Вам будут интересны следующие товары:"
"Thank you for your purchase!","Спасибо за покупки!"
"&laquo; Back to Select Addresses","&laquo; Вернуться к выбору адресов"
"Submitting order information...","Отправка информации о заказе..."
"Get a Quote","Посчитать"
"Are you sure you would like to remove this item from the shopping cart?","Вы действительно хотите удалить данный товар из корзины?"
"Fax","Факс"
"Loading next step...","Загрузка следующего шага..."
"Company","Компания"
"Apply Coupon","Использовать купон"
"Already registered?","Уже зарегистрированы?"
"Subtotal","Стоимость товара"
"Register","Регистрация"
"Continue to Billing Information","Перейти к указанию платёжной информации"
"Your order # is: %s","Номер Вашего заказа: %s"
"Select Shipping Method","Выберите способ доставки"
"Update Shopping Cart","Обновить корзину"
"Select Address","Выбрать адрес"
"Telephone","Телефон"
"Shipping method has not been selected yet","Способ доставки не выбран"
"You have no items in your shopping cart.","В корзине нет товаров."
"&laquo; Back to Shopping Cart","&laquo; Вернуться в корзину"
"Confirm Password","Подвердить пароль"
"Estimate Shipping and Tax","Стоимость доставки и налоги"
"Last added items","Последние добавленные товары"
"Log in below to take advantage of Express Checkout:","Войдите ниже чтобы перейти к быстрому оформлению заказа:"
"Continue to Success","Перейти к подтверждению заказа"
"Billing Address","Адрес плательщика"
"Go to Cart","Перейти в корзину"
"Select a shipping address from your address book or enter a new address.","Выберите адрес доставки из Вашей адресной книги или добавьте <a href=""#"" onclick=""shipping.newAddress(true); return false;"">новый адрес</a>."
"You will receive an order confirmation email with details of your order and a link to track its progress.","Вы получите письмо подтверждение заказа на email с подробной информацией о Вашем заказе."
"Your Checkout Progress","Ваш прогресс оформления заказа"
"&laquo; Back to Billing Information","&laquo; Вернуться к платёжной информация"
"&laquo; Back to Shipping Information","&laquo; Вернуться к информации о доставке"
"You may check out as a guest or register with us for future convenience:","Вы можете оформить заказ как гость, либо как зарегистрированный покупатель:"
"Continue Shopping","Вернуться в магазин"
"Zip/Postal Code","Почтовый индекс"
"Update Qty &amp; Addresses","Обвиноть количество и адреса"
"Product Name","Название товара"
"Your order number is %s","Ваш заказ номер %s"
"* Required Fields","* Обязательные поля"
"Items","Товары"
"Continue to Shipping Information","Перейти к выбору способа доставки"
"Ship to this address","Отправить по этому адресу"
"Sorry, no quotes are available for this order at this time.","Извините, на данный момент нет квот для данного заказа."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Пожалуйста, укажите правильный почтовый индекс. Например 355029."
"Remove Product","Удалить товар"
"Last Name","Фамилия"
"Back","Вернуться"
"Change Payment Method","Изменить способ оплаты"
"Grand Total:","Всего:"
"Shipping to","Доставка"
"Address %s of %s","Адрес <span class=""shipment-count"">%s</span> из %s"
"We are processing your order and you will soon receive an email with details of the order. Once the order has shipped you will receive another email with a link to track its progress.","Мы получили Ваш заказ и Вы получите email с информацией о заказе.<br/>После того как Ваш заказ будет отправлен, Вы также получите email с информацией о доставке заказа."
"Change Shipping Method","Изменить способ доставки"
"Shopping Cart","Корзина"
"Forgot your password?","Забыли пароль?"
"Enter your destination to get a shipping estimate.","Укажите Ваше местонахождения для расчёта доставки."
"My Account","Мои данные"
"Street Address","Адрес"
"Shipping Address","Адрес доставки"
"Select a billing address from your address book or enter a new address.","Выберите адрес плательщика из Вашей адресной книги или добавьте <a href=""#"" onclick=""billing.newAddress(true); return false;"">новый адрес</a>."
"Continue to Overview","Перейти к просмотру"
"Please <a href=""%s"">continue shopping</a>.","Вернуться в <a href=""%s"">магазин</a>."
"Edit Your Cart","Редактировать свою корзину"
"You have no items in your cart.","В Вашей корзине нет товаров."
"Easy access to your order history and status","Простой доступ к истории и статусу заказа"
"Register and save time!","Зарегистрируйтесь, это сэкономит Ваше время!"
"Fast and easy check out","Быстрое оформление заказа"
"Use Billing Address","Использовать адрес плательщика"
"Add to Wishlist","Добавить в отмеченные товары"
"My Cart - <a href=""%s"">%d item(s)</a>","Моя корзина <span class=""count"">- <a href=""%s"">%d товар(ов)</a></span>"
"Move to Wishlist","Переместить в отмеченные товары"
"Default Shipping","Доставка по умолчанию"
"Checkout as a Guest or Register","Оформите заказ как гость или зарегистрируйтесь"
"Qty","Количество"
"Enter your coupon code if you have the one.","Укажите код купона, если есть."
"Done","Готово"
"Close","Закрыть"
"City","Город"
"Card Verification Number Visual Reference","Верификационный номер кредитной карточки"
"First Name","Имя"
"Unit Price","Цена единицы"
"Please select region, state or province","Выберите регион"
"Product","Товар"
"Payment Method","Способ оплаты"
"Price","Цена"
"Street Address 2","Адрес 2"
"Address","Адрес"
"Password","Пароль"
"Update Total","Обновить сумму"
"Change Shipping Address","Изменить адрес доставки"
"Email Address","Email адрес"
"Edit","Редактировать"
"Add to Cart","Добавить в корзину"
"Edit Items","Редактировать товары"
"Remove","Удалить"
"Continue","Продолжить"
"Forgot an Item?","Забыли товар?"
"Shopping Cart is Empty","Коризан пуста"
"Login","Вход"
"Add New Address","Добавить новый адрес"
"Default Billing","Адрес плательщика по умолчанию"
"Enter a New Address","Укажите новый адрес"
"Checkout as Guest","Оформление как гость"
"Discount Codes","Коды скидки"
"Select State/Province...","Выберите регион..."
"Continue to Review Your Order","Перейти к указанию комментария к заказу"
"Your order has been received","Ваш заказ успешно оформлен"
