"%s Review(s)","%s Review(s)"
"(%s Reviews)","(%s отзывов)"
"Unable to post review. Please try again later.","Невозможно добавить отзыв. Пожалуйста, попробуйте позже."
"Unable to post review. Please, try again later.","Unable to post review. Please, try again later."
