"# of Items (and above)","Количество товара (и выше)"
"# of Items vs. Destination","Количество товара и местонахождение"
"Invalid Table Rate code for type %s: %s","Неправильные табличные значения %s: %s"
"Invalid Table Rate code type: %s","Неправильные табличные значения: %s"
"Order Subtotal (and above)","Стоимость товара (и выше)"
"Price vs. Destination","Цена и местонахождение"
"Store Pickup",Самовывоз
"Weight (and above)","Вес (и выше)"
"Weight vs. Destination","Вес и местонахождение"
