"-- Please select --","-- Please select --"
"Card Gate Plus","Card Gate Plus"
"Cardgate payment failed","Cardgate payment failed"
"Credit card (MasterCard, Visa, American Express, Maestro, V-Pay)","Credit card (MasterCard, Visa, American Express, Maestro)"
"Customer was redirected to Cardgate.","Customer was redirected to Cardgate."
"Enabled","Enabled"
"Hash Key","Hash Key"
"iDEAL (Netherlands)","iDEAL (Netherlands)"
"iDeal bank:","iDeal bank:"
"Invalid Card Gate Request","Invalid Card Gate Request"
"Mister Cash (Belgium)","Mister Cash (Belgium)"
"Notified customer about creditmemo #%s.","Notified customer about credit memo #%s."
"Notified customer about invoice #%s.","Notified customer about invoice #%s."
"Other banks","Other banks"
"Payment from Applicable Countries","Payment from Applicable Countries"
"Payment from Specific Countries","Payment from Specific Countries"
"Payment Option","Payment Option"
"Site Id","Site Id"
"SofortBanking (Germany, Switzerland, Austria, Belgium, United Kingdom)","SofortBanking (Germany, Switzerland, Austria, Belgium, United Kingdom)"
"Sort Order","Sort Order"
"Test Mode","Test Mode"
"Test mode is available only for Credit card payment option.","Test mode is available only for Credit card payment option."
"Title","Title"
"You will be redirected to CardGate in a few seconds.","You will be redirected to CardGate in a few seconds."
"You will be redirected to Cardgate website when you place an order.","You will be redirected to Cardgate website when you place an order."
"You will be redirected to selected iDeal bank when you place an order.","You will be redirected to selected iDeal bank when you place an order."
