"-- Please select --","-- Please select --"
"Card Gate Plus","Card Gate Plus"
"Cardgate payment failed","Cardgate-betaling mislukt"
"Credit card (MasterCard, Visa, American Express, Maestro, V-Pay)","Credit card (MasterCard, Visa, American Express, Maestro, V-Pay)"
"Customer was redirected to Cardgate.","Klant was doorverwezen naar Cardgate."
"Enabled","Ingeschakeld"
"Hash Key","Hash-knop"
"iDEAL (Netherlands)","iDEAL (Netherlands)"
"iDeal bank:","iDeal-bank:"
"Invalid Card Gate Request","Ongeldige Card Gate Opvraag"
"Mister Cash (Belgium)","Mister Cash (Belgium)"
"Notified customer about creditmemo #%s.","Klant verwittigd over kredietmemo #%s."
"Notified customer about invoice #%s.","Klant verwittigd over factuur #%s."
"Other banks","Andere banken"
"Payment from Applicable Countries","Betaling van Geëigende Landen"
"Payment from Specific Countries","Betaling van Specifieke Landen"
"Payment Option","Payment Option"
"Site Id","Website-ID"
"SofortBanking (Germany, Switzerland, Austria, Belgium, United Kingdom)","SofortBanking (Germany, Switzerland, Austria, Belgium, United Kingdom)"
"Sort Order","Sorteer Bestelling"
"Test Mode","Test modus"
"Test mode is available only for Credit card payment option.","Test mode is available only for Credit card payment option."
"Title","Titel"
"You will be redirected to CardGate in a few seconds.","U zult doorverwezen worden naar de CardGate in een paar secondes."
"You will be redirected to Cardgate website when you place an order.","U zult doorverwezen worden naar de Cardgate-website wanneer u een bestelling plaatst."
"You will be redirected to selected iDeal bank when you place an order.","U zult doorverwezen worden naar de geselecteerde iDeal-bank wanneer u een bestelling plaatst."
