Close,Fermer
ID,Identification
[GLOBAL],[GLOBAL]
"-- Please Select --","-- Please Select --"
Status,Statut
"Save and Continue Edit","Sauvegarde et continue à changer"
Type,Type
Rule,"Nom de la règle"
"Start on","Date de début"
"End on","Date de fin"
Active,Actif
"Applies To","S'applique "
"This rule no longer exists.","This rule no longer exists."
"Use Config Settings","Utiliser paramètres de configuration"
"Product Attributes","Attributs du produit"
"Related Products","Produits en rapport"
Up-sells,"Montée en gamme"
Cross-sells,"Ventes croisées"
"Edit Rule '%1'","Edit Rule '%1'"
"New Rule","Nouvelle règle"
"Rule Information","Infos de règle"
"Rule Name","Rule Name"
Inactive,Inactif
"From Date","Depuis date"
"To Date","Jusqu'à présent"
Priority,Priorité
"Conditions Combination","Conditions de combinaison"
"We can't find a page to delete.","We can't find a page to delete."
"Apply To","S'applique "
"equals or greater than","égal ou plus grand que"
"equals or less than","égal ou moins que"
"Please choose a condition to add.","Please choose a condition to add."
"Related Products Rule","Related Products Rule"
"Add Rule","Ajouter règle"
"Product Result Conditions (leave blank for matching all products)","Conditions de résultat du produit (laisser vierge pour une correspondance avec tous les produits)"
"Products to Display","Produits à afficher"
"Product Match Conditions (leave blank for matching all products)","Conditions de correspondance du produit (laisser vierge pour une correspondance avec tous les produits)"
"Products to Match","Produits à égaler"
"General Rule Information","Information générale de règle"
"Result Limit","Limite de résultat"
"Maximum number of products that can be matched by this Rule. Capped to 20.","Nombre maximum de produits qui peuvent être égalés par cette règle. Limitée à 20."
"Product Rule Information","Infos de règle du produit"
"Undefined Catalog Product List Type","Type de liste de catalogue de produit non définie"
"Related Products Rules","Related Products Rules"
"New Related Products Rule","New Related Products Rule"
"Please specify a correct rule.","Please specify a correct rule."
"You saved the rule.","You saved the rule."
"Invalid date.","Date non valide."
"An error occurred while saving Product Rule.","Une erreur est survenue lors de la sauvegarde de la Règle de produit."
"You deleted the rule.","You deleted the rule."
"Invalid product list type","Type de liste de produit invalide"
"Invalid rotation mode type","Mode de rotation type non valide"
"Product %1%2%3%4%5%6%7","Product %1%2%3%4%5%6%7"
"Constant Value","Valeur constante"
"the Same as Matched Product Categories","le même que les catégories de produits correspondants"
"the Child of the Matched Product Categories","l'enfant des catégories de produits correspondants"
"Matched Product %1","Matched Product %1"
"Target Product ","Produit cible"
"Price (percentage)","Prix (pourcentage)"
"Product Special","Produit spécial"
"equal to","égal "
more,plus
less,moins
"Product Price is %1 %2% of Matched Product(s) Price","Product Price is %1 %2% of Matched Product(s) Price"
"Please define a product data object.","Please define a product data object."
"Target Rules","Règles de ciblage"
"The product list type identifier is not defined.","The product list type identifier is not defined."
"Model class name for attribute is invalid","Model class name for attribute is invalid"
"This attribute code is invalid. Please use only letters (a-z), numbers (0-9) or underscores (_), and be sure the code begins with a letter.","This attribute code is invalid. Please use only letters (a-z), numbers (0-9) or underscores (_), and be sure the code begins with a letter."
"Both Selected and Rule-Based","A la fois sélectionné et basé sur la règle"
"Selected Only","Sélectionnés seulement"
"Rule-Based Only","Seulement basé sur la règle"
"Do not rotate","Ne pas tourner"
Shuffle,Mélanger
"Rule-based Settings","Paramètres basés sur la règle"
"Rule-based Positions","Positions basées sur la règle"
"Position Behavior","Comportement de la position"
"Rule-Based Product Relations","Relations de produit basées sur la règle"
"Maximum Number of Products in Related Products List","Maximum Number of Products in Related Products List"
"Show Related Products","Show Related Products"
"Rotation Mode for Products in Related Product List","Rotation Mode for Products in Related Product List"
"Maximum Number of Products in Cross-Sell Product List","Maximum Number of Products in Cross-Sell Product List"
"Show Cross-Sell Products","Show Cross-Sell Products"
"Rotation Mode for Products in Cross-Sell Product List","Rotation Mode for Products in Cross-Sell Product List"
"Maximum Number of Products in Upsell Product List","Maximum Number of Products in Upsell Product List"
"Show Upsell Products","Show Upsell Products"
"Rotation Mode for Products in Upsell Product List","Rotation Mode for Products in Upsell Product List"
